dataset,base_dataset,query_index,question,gold_title,bucket,source_has_gold,source_gold_positions_json,source_best_gold_rank,rank_fill5_has_gold,binding_candidates_have_gold,dbec_greedy_path_has_gold,dbec_final_has_gold,setr_selected_count,gold_doc_count,requirement_count,dependent_req_count,setr_f1,dbec_f1,delta_f1_dbec_minus_setr,rank_fill_positions_json,rank_fill_titles_json,dbec_final_positions_json,dbec_final_titles_json,dbec_greedy_path_positions_json,dbec_greedy_path_titles_json,binding_candidate_positions_json,binding_candidate_titles_json
2Wiki,2wikimultihopqa,4,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",Aldri annet enn bråk,gold_recovered_by_dbec_final,1,[0],0,1,0,1,1,3,4,4,2,1.0,1.0,0.0,"[1, 2, 3, 0, 4]","[""Edith Carlmar"", ""God's Gift to Women"", ""Altid ballade"", ""Aldri annet enn bråk"", ""Michael Curtiz""]","[99, 1, 2, 0, 3]","[""Arne Toonen"", ""Edith Carlmar"", ""God's Gift to Women"", ""Aldri annet enn bråk"", ""Altid ballade""]","[99, 1, 2, 0]","[""Arne Toonen"", ""Edith Carlmar"", ""God's Gift to Women"", ""Aldri annet enn bråk""]","[4, 99, 1]","[""Michael Curtiz"", ""Arne Toonen"", ""Edith Carlmar""]"
2Wiki,2wikimultihopqa,4,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",Michael Curtiz,gold_in_binding_candidates_not_selected,1,[4],4,1,1,0,0,3,4,4,2,1.0,1.0,0.0,"[1, 2, 3, 0, 4]","[""Edith Carlmar"", ""God's Gift to Women"", ""Altid ballade"", ""Aldri annet enn bråk"", ""Michael Curtiz""]","[99, 1, 2, 0, 3]","[""Arne Toonen"", ""Edith Carlmar"", ""God's Gift to Women"", ""Aldri annet enn bråk"", ""Altid ballade""]","[99, 1, 2, 0]","[""Arne Toonen"", ""Edith Carlmar"", ""God's Gift to Women"", ""Aldri annet enn bråk""]","[4, 99, 1]","[""Michael Curtiz"", ""Arne Toonen"", ""Edith Carlmar""]"
2Wiki,2wikimultihopqa,8,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,Frank Launder,gold_recovered_by_dbec_final,1,[7],7,0,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 1, 2, 3, 4]","[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal"", ""Spring Handicap"", ""Safe (2012 film)""]","[2, 7, 0, 1, 3]","[""Perry Bhandal"", ""Frank Launder"", ""The Last Coupon"", ""Interview with a Hitman"", ""Spring Handicap""]","[2, 7, 0, 1]","[""Perry Bhandal"", ""Frank Launder"", ""The Last Coupon"", ""Interview with a Hitman""]","[2, 7]","[""Perry Bhandal"", ""Frank Launder""]"
2Wiki,2wikimultihopqa,18,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?",Clarence Brown,gold_recovered_by_dbec_final,1,[4],4,1,1,1,1,3,4,4,2,0.0,1.0,1.0,"[0, 1, 3, 2, 4]","[""The Goose Woman"", ""You Can No Longer Remain Silent"", ""Robert A. Stemmle"", ""The Past of Mary Holmes"", ""Clarence Brown""]","[4, 3, 1, 0, 2]","[""Clarence Brown"", ""Robert A. Stemmle"", ""You Can No Longer Remain Silent"", ""The Goose Woman"", ""The Past of Mary Holmes""]","[4, 3, 1, 0]","[""Clarence Brown"", ""Robert A. Stemmle"", ""You Can No Longer Remain Silent"", ""The Goose Woman""]","[4, 3]","[""Clarence Brown"", ""Robert A. Stemmle""]"
2Wiki,2wikimultihopqa,30,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",Dino Risi,gold_recovered_by_dbec_final,1,[57],57,0,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 1, 3, 2, 4]","[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Victor Sjöström"", ""Francis J. Grandon""]","[57, 1, 3, 0, 2]","[""Dino Risi"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Playing It Wild"", ""Victor Sjöström""]","[57, 1, 3, 0]","[""Dino Risi"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Playing It Wild""]","[1, 57]","[""William Duncan (actor)"", ""Dino Risi""]"
2Wiki,2wikimultihopqa,57,"Which film has the director born later, Arrête Ton Cinéma or Agni (2004 Film)?",Swapan Saha,gold_recovered_by_dbec_final,1,[29],29,0,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 2, 1, 3, 4]","[""Arrête ton cinéma"", ""Diane Kurys"", ""Agni (2004 film)"", ""Bertrand Tavernier"", ""Garçon stupide""]","[2, 29, 0, 1, 3]","[""Diane Kurys"", ""Swapan Saha"", ""Arrête ton cinéma"", ""Agni (2004 film)"", ""Bertrand Tavernier""]","[2, 29, 0, 1]","[""Diane Kurys"", ""Swapan Saha"", ""Arrête ton cinéma"", ""Agni (2004 film)""]","[2, 29]","[""Diane Kurys"", ""Swapan Saha""]"
2Wiki,2wikimultihopqa,77,"Which film has the director died later, Lost In The Stratosphere or Blind Man'S Eyes?",Blind Man's Eyes,gold_recovered_by_dbec_final,1,[0],0,1,0,1,1,3,4,4,2,0.0,0.0,0.0,"[1, 4, 5, 0, 2]","[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney"", ""Blind Man's Eyes"", ""Blind Man (film)""]","[0, 4, 1, 2, 3]","[""Blind Man's Eyes"", ""Melville W. Brown"", ""Lost in the Stratosphere"", ""Blind Man (film)"", ""Dead Man's Eyes""]","[0, 4, 1]","[""Blind Man's Eyes"", ""Melville W. Brown"", ""Lost in the Stratosphere""]",[4],"[""Melville W. Brown""]"
2Wiki,2wikimultihopqa,77,"Which film has the director died later, Lost In The Stratosphere or Blind Man'S Eyes?",John Ince (actor),gold_absent_from_source_pool,0,[],,0,0,0,0,3,4,4,2,0.0,0.0,0.0,"[1, 4, 5, 0, 2]","[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney"", ""Blind Man's Eyes"", ""Blind Man (film)""]","[0, 4, 1, 2, 3]","[""Blind Man's Eyes"", ""Melville W. Brown"", ""Lost in the Stratosphere"", ""Blind Man (film)"", ""Dead Man's Eyes""]","[0, 4, 1]","[""Blind Man's Eyes"", ""Melville W. Brown"", ""Lost in the Stratosphere""]",[4],"[""Melville W. Brown""]"
2Wiki,2wikimultihopqa,87,"Which film has the director who was born later, The First Day Of Freedom or Malabimba – The Malicious Whore?",Aleksander Ford,gold_recovered_by_dbec_final,1,[31],31,0,1,1,1,3,4,4,2,0.0,1.0,1.0,"[0, 1, 2, 3, 4]","[""Malabimba – The Malicious Whore"", ""The First Day of Freedom"", ""Andrea Bianchi"", ""Alain Jessua"", ""Fernando Di Leo""]","[2, 31, 1, 0, 3]","[""Andrea Bianchi"", ""Aleksander Ford"", ""The First Day of Freedom"", ""Malabimba – The Malicious Whore"", ""Alain Jessua""]","[2, 31, 1, 0]","[""Andrea Bianchi"", ""Aleksander Ford"", ""The First Day of Freedom"", ""Malabimba – The Malicious Whore""]","[31, 2]","[""Aleksander Ford"", ""Andrea Bianchi""]"
2Wiki,2wikimultihopqa,96,"Which film has the director born later, Romance On The Run or The Palace Of Angels?",Romance on the Run,gold_recovered_by_dbec_final,1,[0],0,1,0,1,1,3,4,4,2,1.0,1.0,0.0,"[3, 1, 4, 0, 2]","[""Gus Meins"", ""The Palace of Angels"", ""Walter Hugo Khouri"", ""Romance on the Run"", ""The Circus Clown""]","[3, 4, 1, 0, 2]","[""Gus Meins"", ""Walter Hugo Khouri"", ""The Palace of Angels"", ""Romance on the Run"", ""The Circus Clown""]","[3, 4, 1, 0]","[""Gus Meins"", ""Walter Hugo Khouri"", ""The Palace of Angels"", ""Romance on the Run""]","[3, 4]","[""Gus Meins"", ""Walter Hugo Khouri""]"
