dataset,base_dataset,query_index,question,primary_bucket,missing_gold_count,source_has_all_missing_gold,rank_fill5_recovered_missing_count,binding_candidate_recovered_missing_count,dbec_greedy_path_recovered_missing_count,dbec_final_recovered_missing_count,rank_added_gold_count,dbec_added_gold_count,dbec_added_non_gold_count,dbec_replaced_rank_gold_count,dbec_final_duplicate_title_count,near_title_substitution_count,near_title_substitution_pairs_json,bucket_counts_json,gold_titles_json,setr_missing_titles_json,setr_titles_json,rank_fill_titles_json,dbec_titles_json,dbec_greedy_path_titles_json,binding_candidate_titles_json,setr_f1,dbec_f1,delta_f1_dbec_minus_setr,repair_gated_net_gold_delta_vs_rank,repair_gated_harmful_replacement
2Wiki,2wikimultihopqa,542,Do both A Daughter Of Australia (1922 Film) and Autoerotic (Film) films have the directors from the same country?,all_missing_gold_recovered_by_dbec,1,1,1,1,0,1,1,1,2,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Joe Swanberg"", ""Autoerotic (film)"", ""A Daughter of Australia (1922 film)"", ""Lawson Harris""]","[""Joe Swanberg""]","[""A Daughter of Australia (1922 film)"", ""Autoerotic (film)"", ""Lawson Harris""]","[""A Daughter of Australia (1922 film)"", ""Autoerotic (film)"", ""Lawson Harris"", ""Joe Swanberg"", ""A Maori Maid's Love""]","[""Ian Barry (director)"", ""Autoerotic (film)"", ""A Daughter of Australia (1922 film)"", ""Joe Swanberg"", ""A Maori Maid's Love""]","[""Ian Barry (director)"", ""Autoerotic (film)"", ""A Daughter of Australia (1922 film)""]","[""Lawson Harris"", ""Ian Barry (director)"", ""Joe Swanberg"", ""Ian Barry (director)"", ""Bigas Luna""]",1.0,0.0,-1.0,0,0
2Wiki,2wikimultihopqa,769,"Which film has the director who was born later, It'S A Bikini World or A Moment Of Romance?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,2,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""A Moment of Romance"", ""Stephanie Rothman"", ""It's a Bikini World"", ""Benny Chan (film director)""]","[""Stephanie Rothman""]","[""It's a Bikini World"", ""A Moment of Romance"", ""Benny Chan (film director)""]","[""It's a Bikini World"", ""A Moment of Romance"", ""Benny Chan (film director)"", ""A Moment of Romance II"", ""A Moment of Romance III""]","[""A Moment of Romance III"", ""Stephanie Rothman"", ""It's a Bikini World"", ""A Moment of Romance"", ""A Moment of Romance II""]","[""A Moment of Romance III"", ""Stephanie Rothman"", ""It's a Bikini World""]","[""Stephanie Rothman"", ""A Moment of Romance III"", ""Benny Chan (film director)"", ""A Moment of Romance II""]",1.0,0.0,-1.0,0,0
2Wiki,2wikimultihopqa,222,"Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?",all_missing_gold_recovered_by_dbec,2,1,1,1,2,2,1,2,2,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Boaz Yakin"", ""Pupi Avati"", ""La mazurka del barone, della santa e del fico fiorone"", ""Safe (2012 film)""]","[""Pupi Avati"", ""Safe (2012 film)""]","[""La mazurka del barone, della santa e del fico fiorone"", ""Boaz Yakin""]","[""La mazurka del barone, della santa e del fico fiorone"", ""Boaz Yakin"", ""Safe (2012 film)"", ""Safe Haven (film)"", ""Ann Hui""]","[""Lasse Hallström"", ""Pupi Avati"", ""Dugès"", ""Safe (2012 film)"", ""La mazurka del barone, della santa e del fico fiorone""]","[""Lasse Hallström"", ""Pupi Avati"", ""Dugès"", ""Safe (2012 film)"", ""La mazurka del barone, della santa e del fico fiorone""]","[""Pupi Avati"", ""Boaz Yakin"", ""Lasse Hallström""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,472,"Which film whose director is younger, Return Of The Hero or Home In Indiana?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,2,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Home in Indiana"", ""Henry Hathaway"", ""Return of the Hero"", ""Laurent Tirard""]","[""Henry Hathaway""]","[""Return of the Hero"", ""Laurent Tirard"", ""Home in Indiana""]","[""Return of the Hero"", ""Laurent Tirard"", ""Home in Indiana"", ""The Very Merry Widows"", ""Édouard Niermans (director)""]","[""Édouard Niermans (director)"", ""Henry Hathaway"", ""Where Was I"", ""Return of the Hero"", ""Home in Indiana""]","[""Édouard Niermans (director)"", ""Henry Hathaway"", ""Where Was I"", ""Return of the Hero"", ""Home in Indiana""]","[""Laurent Tirard"", ""Édouard Niermans (director)"", ""Henry Hathaway""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,704,"Which film whose director was born first, Return To Return To Nuke 'Em High Aka Volume 2 or Zameen (2003 Film)?",all_missing_gold_recovered_by_dbec,2,1,2,0,2,2,2,2,2,0,0,1,"[{""dbec_title"": ""Return to Nuke 'Em High Volume 1"", ""missing_gold_title"": ""Return to Return to Nuke 'Em High AKA Volume 2""}]","{""gold_recovered_by_dbec_final"": 2}","[""Zameen (2003 film)"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Rohit Shetty""]","[""Zameen (2003 film)"", ""Return to Return to Nuke 'Em High AKA Volume 2""]","[""Lloyd Kaufman"", ""Rohit Shetty""]","[""Lloyd Kaufman"", ""Rohit Shetty"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Return to Nuke 'Em High Volume 1"", ""Zameen (2003 film)""]","[""Hassan Zee"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Zameen (2003 film)"", ""Return to Nuke 'Em High Volume 1""]","[""Hassan Zee"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Zameen (2003 film)""]","[""Lloyd Kaufman"", ""Rohit Shetty"", ""Hassan Zee""]",0.888888888888889,1.0,0.11111111111111105,-1,1
2Wiki,2wikimultihopqa,581,"Which film has the director died later, Chad Hanna or The Avenging Shadow?",all_missing_gold_recovered_by_dbec,2,1,2,0,2,2,2,2,2,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Ray Taylor (director)"", ""Henry King (director)"", ""Chad Hanna"", ""The Avenging Shadow""]","[""Chad Hanna"", ""The Avenging Shadow""]","[""Henry King (director)"", ""Ray Taylor (director)""]","[""Henry King (director)"", ""Ray Taylor (director)"", ""Chad Hanna"", ""The Avenging Shadow"", ""The Avenging Arrow""]","[""Edward L. Cahn"", ""The Avenging Shadow"", ""Chad Hanna"", ""Henry King (director)"", ""The Avenging Arrow""]","[""Edward L. Cahn"", ""The Avenging Shadow"", ""Chad Hanna""]",[],0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,8,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Interview with a Hitman"", ""The Last Coupon"", ""Frank Launder"", ""Perry Bhandal""]","[""Frank Launder""]","[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal""]","[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal"", ""Spring Handicap"", ""Safe (2012 film)""]","[""Perry Bhandal"", ""Frank Launder"", ""The Last Coupon"", ""Interview with a Hitman"", ""Spring Handicap""]","[""Perry Bhandal"", ""Frank Launder"", ""The Last Coupon"", ""Interview with a Hitman""]","[""Perry Bhandal"", ""Frank Launder""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,30,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Dino Risi"", ""I'll Be Going Now"", ""William Duncan (actor)"", ""Playing It Wild""]","[""Dino Risi""]","[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now""]","[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Victor Sjöström"", ""Francis J. Grandon""]","[""Dino Risi"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Playing It Wild"", ""Victor Sjöström""]","[""Dino Risi"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Playing It Wild""]","[""William Duncan (actor)"", ""Dino Risi""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,77,"Which film has the director died later, Lost In The Stratosphere or Blind Man'S Eyes?",gold_absent_from_source_pool,2,0,1,0,1,1,1,1,2,0,0,2,"[{""dbec_title"": ""Blind Man (film)"", ""missing_gold_title"": ""Blind Man's Eyes""}, {""dbec_title"": ""Dead Man's Eyes"", ""missing_gold_title"": ""Blind Man's Eyes""}]","{""gold_absent_from_source_pool"": 1, ""gold_recovered_by_dbec_final"": 1}","[""Melville W. Brown"", ""Blind Man's Eyes"", ""Lost in the Stratosphere"", ""John Ince (actor)""]","[""Blind Man's Eyes"", ""John Ince (actor)""]","[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney""]","[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney"", ""Blind Man's Eyes"", ""Blind Man (film)""]","[""Blind Man's Eyes"", ""Melville W. Brown"", ""Lost in the Stratosphere"", ""Blind Man (film)"", ""Dead Man's Eyes""]","[""Blind Man's Eyes"", ""Melville W. Brown"", ""Lost in the Stratosphere""]","[""Melville W. Brown""]",0.0,0.0,0.0,0,0
2Wiki,2wikimultihopqa,373,"Which film has the director who was born later, Complete Unknown or Dr. Goldfoot And The Girl Bombs?",gold_absent_from_source_pool,2,0,1,0,1,1,1,1,2,0,0,0,[],"{""gold_absent_from_source_pool"": 1, ""gold_recovered_by_dbec_final"": 1}","[""Dr. Goldfoot and the Girl Bombs"", ""Mario Bava"", ""Joshua Marston"", ""Complete Unknown""]","[""Dr. Goldfoot and the Girl Bombs"", ""Mario Bava""]","[""Complete Unknown"", ""Joshua Marston""]","[""Complete Unknown"", ""Joshua Marston"", ""Dr. Goldfoot and the Girl Bombs"", ""Antonio Rinaldi (cinematographer)"", ""Riccardo Freda""]","[""Dr. Goldfoot and the Girl Bombs"", ""Joshua Marston"", ""Complete Unknown"", ""Antonio Rinaldi (cinematographer)"", ""Riccardo Freda""]","[""Dr. Goldfoot and the Girl Bombs"", ""Joshua Marston"", ""Complete Unknown""]","[""Joshua Marston""]",1.0,1.0,0.0,0,0
