dataset,base_dataset,query_index,question,gold_title,policy,source_best_gold_rank,policy_best_gold_rank,rank_improvement,baseline_hit_at_5,baseline_hit_at_10,baseline_hit_at_20,policy_hit_at_5,policy_hit_at_10,policy_hit_at_20,new_hit_at_5,new_hit_at_10,new_hit_at_20,best_score,best_generated_text,best_reason,policy_top5_titles_json
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,source_order,18,18,0,0,0,1,0,0,1,0,0,0,0.0,,,"[""César Gaytan"", ""Sebastian Cabot (explorer)"", ""Pedro Álvares Cabral"", ""Francisco de Eliza"", ""Giovanni Battista Caviglia""]"
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,question_lexical,18,72,-54,0,0,1,0,0,0,0,0,0,0.0,,,"[""César Gaytan"", ""Child labour"", ""History of the west coast of North America"", ""Portugal"", ""Spice trade""]"
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,demand_lexical,18,52,-34,0,0,1,0,0,0,0,0,0,0.0,,,"[""César Gaytan"", ""Child labour"", ""History of the west coast of North America"", ""Portugal"", ""Spice trade""]"
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,llm_query_reform,18,56,-38,0,0,1,0,0,0,0,0,0,0.0,,,"[""César Gaytan"", ""Child labour"", ""Portugal"", ""History of the west coast of North America"", ""Spice trade""]"
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,llm_demand_reform,18,72,-54,0,0,1,0,0,0,0,0,0,0.0,,,"[""César Gaytan"", ""Child labour"", ""History of the west coast of North America"", ""Portugal"", ""Spice trade""]"
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,llm_demand_hyde,18,37,-19,0,0,1,0,0,0,0,0,0,12.106214391012841,The Italian navigator Christopher Columbus explored the eastern coast of the continent of North America during his first voyage in 1492.,body_token_overlap,"[""César Gaytan"", ""Spain"", ""Spain"", ""History of the west coast of North America"", ""Exploration of North America""]"
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,llm_combined,18,63,-45,0,0,1,0,0,0,0,0,0,12.106214391012841,The Italian navigator Christopher Columbus explored the eastern coast of the continent of North America during his first voyage in 1492.,body_token_overlap,"[""César Gaytan"", ""History of the west coast of North America"", ""Spain"", ""Spain"", ""Exploration of North America""]"
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,llm_listwise_select,18,29,-11,0,0,1,0,0,0,0,0,0,0.0,,,"[""César Gaytan"", ""Sebastian Cabot (explorer)"", ""John Cabot"", ""Exploration of North America"", ""Pedro Álvares Cabral""]"
MuSiQue,musique,28,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,Imperialism,source_order,7,7,0,0,1,1,0,1,1,0,0,0,0.0,,,"[""Central Intelligence Agency"", ""Korean War"", ""Central Intelligence Agency"", ""Korean War"", ""Korean War""]"
MuSiQue,musique,28,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,Imperialism,question_lexical,7,11,-4,0,1,1,0,0,1,0,0,0,37.33176542028052,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,body_token_overlap,"[""Korean War"", ""Korean War"", ""Korean War"", ""Great power"", ""Korean War""]"
