dataset,question,query_type,oracle_label,selected_by_dryrun,selected_by_judge,dep_triggered,query_dependency_mode,candidate_pool_position,replace_pool_position,candidate_title,replace_incumbent_title,score_delta,oracle_delta_em,oracle_delta_f1,candidate_top_psi_flat,candidate_top_psi_dep,incumbent_top_psi_flat,incumbent_top_psi_dep,G_flat_before_top2,G_flat_after_top2,delta_flat_top2,G_dep_before_top2,G_dep_after_top2,delta_dep_top2,delta_flat_max,delta_flat_full,delta_dep_max,delta_dep_full
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,True,dependency,57,8,List of UEFA club competition winners,FC Barcelona,-6.1455,1.0,1.0,0.0002,0.0004,0.07,0.0988,2.912,2.912,0.0,2.7858,2.7858,0.0,0.0,-0.0051,0.0,-0.0072
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,True,dependency,57,2,List of UEFA club competition winners,FC Barcelona,-5.9834,1.0,1.0,0.0002,0.0004,0.0965,0.1629,2.912,2.912,0.0,2.7858,2.7858,0.0,0.0,-0.0057,0.0,-0.0086
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,True,dependency,44,8,Manchester City F.C.,FC Barcelona,-4.5361,1.0,1.0,0.0031,0.0071,0.07,0.0988,2.912,2.912,0.0,2.7858,2.7858,0.0,0.0,-0.0049,0.0,-0.0068
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,True,dependency,44,2,Manchester City F.C.,FC Barcelona,-4.374,1.0,1.0,0.0031,0.0071,0.0965,0.1629,2.912,2.912,0.0,2.7858,2.7858,0.0,0.0,-0.0056,0.0,-0.0083
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,True,dependency,29,8,Argentina v England (1986 FIFA World Cup),FC Barcelona,-4.665,1.0,1.0,0.0034,0.0062,0.07,0.0988,2.912,2.912,0.0,2.7858,2.7858,0.0,0.0,-0.0049,0.0,-0.0065
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,True,dependency,29,2,Argentina v England (1986 FIFA World Cup),FC Barcelona,-4.5029,1.0,1.0,0.0034,0.0062,0.0965,0.1629,2.912,2.912,0.0,2.7858,2.7858,0.0,0.0,-0.0055,0.0,-0.008
musique,"What month did the Tripartite discussions begin between Britain, France, and the country where, despite being headquartered in the nation called the nobilities commonwealth, the top-ranking Warsaw Pact operatives originated?",standard,negative,False,False,True,dependency,30,8,Cold War,Warsaw Pact,-2.6641,0.0,0.0,0.0022,0.002,0.2397,0.1718,2.6955,2.6955,0.0,1.1475,1.1475,0.0,0.0,-0.1865,0.0,-0.2518
musique,"What month did the Tripartite discussions begin between Britain, France, and the country where, despite being headquartered in the nation called the nobilities commonwealth, the top-ranking Warsaw Pact operatives originated?",standard,negative,False,False,True,dependency,30,4,Cold War,Warsaw Pact,-2.3457,0.0,0.0,0.0022,0.002,0.1653,0.1193,2.6955,2.6955,0.0,1.1475,1.1475,0.0,0.0,-0.1175,0.0,-0.1807
musique,"What month did the Tripartite discussions begin between Britain, France, and the country where, despite being headquartered in the nation called the nobilities commonwealth, the top-ranking Warsaw Pact operatives originated?",standard,negative,False,False,True,dependency,84,8,Pacific War,Warsaw Pact,-5.0195,0.0,0.0,0.0075,0.0078,0.2397,0.1718,2.6955,2.6955,0.0,1.1475,1.1475,0.0,0.0,-0.1846,0.0,-0.2497
musique,What year did the publisher of Labyrinth end?,standard,negative,False,False,False,flat_fallback,55,4,The Lord of the Rings,Acornsoft,0.0391,0.0,0.0,0.0122,0.0122,0.0219,0.0219,1.6647,1.6647,0.0,1.6647,1.6647,0.0,0.0,-0.0019,0.0,-0.0019
