dataset,query_index,method,gold_title,source_best_gold_rank,hit_at_5,new_hit_at_5,selected_titles_json
MuSiQue,8,dbec_selective,Battle of New Orleans,71,0,0,"[""III (Stanton Moore album)"", ""Primo Riccitelli"", ""Battle of Korytsa"", ""Philip III of Spain"", ""Charles Russell Lowell""]"
MuSiQue,8,rankgpt_rank5_no_think,Battle of New Orleans,71,0,0,"[""III (Stanton Moore album)"", ""Philip III of Spain"", ""Franco-Prussian War"", ""Ali"", ""Battle of Alto de los Godos""]"
MuSiQue,8,rankgpt_select5_no_think,Battle of New Orleans,71,0,0,"[""III (Stanton Moore album)"", ""Philip III of Spain"", ""Battle of Uhud"", ""Franco-Prussian War"", ""Robert Munford III""]"
MuSiQue,8,setr_faithful,Battle of New Orleans,71,0,0,"[""Battle of Korytsa"", ""Franco-Prussian War"", ""Philip III of Spain"", ""Charles Russell Lowell"", ""Battle of the Border""]"
MuSiQue,8,source_order,Battle of New Orleans,71,0,0,"[""Battle of Korytsa"", ""Philip III of Spain"", ""Charles Russell Lowell"", ""Battle of the Border"", ""William Shakespeare""]"
MuSiQue,24,dbec_selective,Paula Santiago,18,0,0,"[""John Cabot"", ""César Gaytan"", ""Sebastian Cabot (explorer)"", ""Pedro Álvares Cabral"", ""Francisco de Eliza""]"
MuSiQue,24,rankgpt_rank5_no_think,Paula Santiago,18,0,0,"[""John Cabot"", ""Sebastian Cabot (explorer)"", ""Exploration of North America"", ""Gibbs Point"", ""Pedro Álvares Cabral""]"
MuSiQue,24,rankgpt_select5_no_think,Paula Santiago,18,0,0,"[""John Cabot"", ""Exploration of North America"", ""Pedro Álvares Cabral"", ""Northwest Passage"", ""Leonora Dori""]"
MuSiQue,24,setr_faithful,Paula Santiago,18,0,0,"[""Sebastian Cabot (explorer)"", ""John Cabot"", ""Exploration of North America"", ""César Gaytan"", ""Pedro Álvares Cabral""]"
MuSiQue,24,source_order,Paula Santiago,18,0,0,"[""César Gaytan"", ""Sebastian Cabot (explorer)"", ""Pedro Álvares Cabral"", ""Francisco de Eliza"", ""Giovanni Battista Caviglia""]"
MuSiQue,28,dbec_selective,Imperialism,7,0,0,"[""Korean War"", ""Central Intelligence Agency"", ""Central Intelligence Agency"", ""Korean War"", ""Korean War""]"
MuSiQue,28,rankgpt_rank5_no_think,Imperialism,7,0,0,"[""Central Intelligence Agency"", ""Korean War"", ""Korean War"", ""Korean War"", ""Korean War""]"
MuSiQue,28,rankgpt_select5_no_think,Imperialism,7,0,0,"[""Central Intelligence Agency"", ""Korean War"", ""Korean War"", ""Korean War"", ""Korean War""]"
MuSiQue,28,setr_faithful,Imperialism,7,0,0,"[""Central Intelligence Agency"", ""Korean War"", ""Korean War"", ""Central Intelligence Agency"", ""Korean War""]"
MuSiQue,28,source_order,Imperialism,7,0,0,"[""Central Intelligence Agency"", ""Korean War"", ""Central Intelligence Agency"", ""Korean War"", ""Korean War""]"
MuSiQue,39,dbec_selective,World Series,58,0,0,"[""Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""1999 Major League Baseball draft"", ""Major League Baseball draft"", ""Hart Memorial Trophy""]"
MuSiQue,39,rankgpt_rank5_no_think,World Series,58,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Hart Memorial Trophy"", ""Major League Baseball draft""]"
MuSiQue,39,rankgpt_select5_no_think,World Series,58,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""Hart Memorial Trophy"", ""World Series Most Valuable Player Award"", ""Willie Mays""]"
MuSiQue,39,setr_faithful,World Series,58,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""Hart Memorial Trophy"", ""Major League Baseball draft"", ""Major League Baseball draft""]"
MuSiQue,39,source_order,World Series,58,0,0,"[""Major League Baseball draft"", ""Hart Memorial Trophy"", ""Major League Baseball draft"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award""]"
MuSiQue,39,dbec_selective,New York Yankees,51,0,0,"[""Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""1999 Major League Baseball draft"", ""Major League Baseball draft"", ""Hart Memorial Trophy""]"
MuSiQue,39,rankgpt_rank5_no_think,New York Yankees,51,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Hart Memorial Trophy"", ""Major League Baseball draft""]"
MuSiQue,39,rankgpt_select5_no_think,New York Yankees,51,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""Hart Memorial Trophy"", ""World Series Most Valuable Player Award"", ""Willie Mays""]"
MuSiQue,39,setr_faithful,New York Yankees,51,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""Hart Memorial Trophy"", ""Major League Baseball draft"", ""Major League Baseball draft""]"
MuSiQue,39,source_order,New York Yankees,51,0,0,"[""Major League Baseball draft"", ""Hart Memorial Trophy"", ""Major League Baseball draft"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award""]"
MuSiQue,55,dbec_selective,Saudi Arabia,75,0,0,"[""History of Saudi Arabia"", ""Israel"", ""Water resources"", ""Israel"", ""Israel""]"
MuSiQue,55,rankgpt_rank5_no_think,Saudi Arabia,75,0,0,"[""Near East"", ""1948 Arab–Israeli War"", ""Kingdom of Israel (united monarchy)"", ""Kingdom of Judah"", ""Middle East""]"
MuSiQue,55,rankgpt_select5_no_think,Saudi Arabia,75,0,0,"[""Near East"", ""Hevel Eilot Regional Council"", ""Geography of Saudi Arabia"", ""Al Lith"", ""Kingdom of Israel (united monarchy)""]"
MuSiQue,55,setr_faithful,Saudi Arabia,75,0,0,"[""Israel"", ""Near East"", ""Jordan"", ""Water resources"", ""Israel""]"
MuSiQue,55,source_order,Saudi Arabia,75,0,0,"[""Water resources"", ""Israel"", ""Israel"", ""Israel"", ""Near East""]"
MuSiQue,55,dbec_selective,Geography of Saudi Arabia,27,0,0,"[""History of Saudi Arabia"", ""Israel"", ""Water resources"", ""Israel"", ""Israel""]"
MuSiQue,55,rankgpt_rank5_no_think,Geography of Saudi Arabia,27,0,0,"[""Near East"", ""1948 Arab–Israeli War"", ""Kingdom of Israel (united monarchy)"", ""Kingdom of Judah"", ""Middle East""]"
MuSiQue,55,rankgpt_select5_no_think,Geography of Saudi Arabia,27,1,1,"[""Near East"", ""Hevel Eilot Regional Council"", ""Geography of Saudi Arabia"", ""Al Lith"", ""Kingdom of Israel (united monarchy)""]"
MuSiQue,55,setr_faithful,Geography of Saudi Arabia,27,0,0,"[""Israel"", ""Near East"", ""Jordan"", ""Water resources"", ""Israel""]"
MuSiQue,55,source_order,Geography of Saudi Arabia,27,0,0,"[""Water resources"", ""Israel"", ""Israel"", ""Israel"", ""Near East""]"
MuSiQue,59,dbec_selective,Reformation,5,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Mary, mother of Jesus""]"
MuSiQue,59,rankgpt_rank5_no_think,Reformation,5,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Wittenberg (district)"", ""Bernhard Lichtenberg"", ""Cathedral of Saint Mary of the Immaculate Conception (Lafayette, Indiana)""]"
MuSiQue,59,rankgpt_select5_no_think,Reformation,5,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Ambroise-Marie Carré"", ""Wittenberg (district)"", ""Bernhard Lichtenberg""]"
MuSiQue,59,setr_faithful,Reformation,5,0,0,"[""John Kodwo Amissah"", ""A River Runs Through It (film)"", ""Ambroise-Marie Carré"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus""]"
MuSiQue,59,source_order,Reformation,5,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Mary, mother of Jesus""]"
MuSiQue,59,dbec_selective,Wittenberg (district),27,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Mary, mother of Jesus""]"
MuSiQue,59,rankgpt_rank5_no_think,Wittenberg (district),27,1,1,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Wittenberg (district)"", ""Bernhard Lichtenberg"", ""Cathedral of Saint Mary of the Immaculate Conception (Lafayette, Indiana)""]"
MuSiQue,59,rankgpt_select5_no_think,Wittenberg (district),27,1,1,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Ambroise-Marie Carré"", ""Wittenberg (district)"", ""Bernhard Lichtenberg""]"
MuSiQue,59,setr_faithful,Wittenberg (district),27,0,0,"[""John Kodwo Amissah"", ""A River Runs Through It (film)"", ""Ambroise-Marie Carré"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus""]"
MuSiQue,59,source_order,Wittenberg (district),27,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Mary, mother of Jesus""]"
MuSiQue,69,dbec_selective,"Tucson, Arizona",94,0,0,"[""Mingus Plays Piano"", ""Oklahoma City"", ""Desert Diamond West Valley Phoenix Grand Prix"", ""Oklahoma City"", ""Indiana""]"
MuSiQue,69,rankgpt_rank5_no_think,"Tucson, Arizona",94,0,0,"[""Charles Mingus"", ""Indiana"", ""Oklahoma City"", ""Oklahoma City"", ""2018 Indianapolis 500""]"
MuSiQue,69,rankgpt_select5_no_think,"Tucson, Arizona",94,0,0,"[""Charles Mingus"", ""Indiana"", ""Oklahoma City"", ""Pinellas County, Florida"", ""Desert Diamond West Valley Phoenix Grand Prix""]"
MuSiQue,69,setr_faithful,"Tucson, Arizona",94,0,0,"[""Mingus Plays Piano"", ""Indiana"", ""Charles Mingus"", ""Arizona"", ""Zarqa Governorate""]"
MuSiQue,69,source_order,"Tucson, Arizona",94,0,0,"[""Mingus Plays Piano"", ""Indiana"", ""Arizona"", ""Zarqa Governorate"", ""Charles Mingus""]"
MuSiQue,74,dbec_selective,Mississippi River,50,0,0,"[""Minneapolis"", ""Write This Down (band)"", ""J. David Irwin"", ""Missouri"", ""Astronautalis""]"
MuSiQue,74,rankgpt_rank5_no_think,Mississippi River,50,1,1,"[""Write This Down (band)"", ""Minneapolis"", ""Mississippi River"", ""Ohio River"", ""Tennessee""]"
MuSiQue,74,rankgpt_select5_no_think,Mississippi River,50,1,1,"[""Write This Down (band)"", ""Minneapolis"", ""Mississippi River"", ""Wichita, Kansas"", ""Snake River""]"
