dataset,base_dataset,query_index,question,primary_bucket,missing_gold_count,source_has_all_missing_gold,rank_fill5_recovered_missing_count,binding_candidate_recovered_missing_count,dbec_greedy_path_recovered_missing_count,dbec_final_recovered_missing_count,rank_added_gold_count,dbec_added_gold_count,dbec_added_non_gold_count,dbec_replaced_rank_gold_count,dbec_final_duplicate_title_count,near_title_substitution_count,near_title_substitution_pairs_json,bucket_counts_json,gold_titles_json,setr_missing_titles_json,setr_titles_json,rank_fill_titles_json,dbec_titles_json,dbec_greedy_path_titles_json,binding_candidate_titles_json,setr_f1,dbec_f1,delta_f1_dbec_minus_setr,repair_gated_net_gold_delta_vs_rank,repair_gated_harmful_replacement
2Wiki,2wikimultihopqa,4,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",gold_in_binding_candidates_not_selected,2,1,2,1,1,1,2,1,1,1,0,0,[],"{""gold_in_binding_candidates_not_selected"": 1, ""gold_recovered_by_dbec_final"": 1}","[""Aldri annet enn bråk"", ""God's Gift to Women"", ""Michael Curtiz"", ""Edith Carlmar""]","[""Aldri annet enn bråk"", ""Michael Curtiz""]","[""Edith Carlmar"", ""God's Gift to Women"", ""Altid ballade""]","[""Edith Carlmar"", ""God's Gift to Women"", ""Altid ballade"", ""Aldri annet enn bråk"", ""Michael Curtiz""]","[""Arne Toonen"", ""Edith Carlmar"", ""God's Gift to Women"", ""Aldri annet enn bråk"", ""Altid ballade""]","[""Arne Toonen"", ""Edith Carlmar"", ""God's Gift to Women"", ""Aldri annet enn bråk""]","[""Michael Curtiz"", ""Arne Toonen"", ""Edith Carlmar""]",1.0,1.0,0.0,-1,1
2Wiki,2wikimultihopqa,8,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Interview with a Hitman"", ""The Last Coupon"", ""Frank Launder"", ""Perry Bhandal""]","[""Frank Launder""]","[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal""]","[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal"", ""Spring Handicap"", ""Safe (2012 film)""]","[""Perry Bhandal"", ""Frank Launder"", ""The Last Coupon"", ""Interview with a Hitman"", ""Spring Handicap""]","[""Perry Bhandal"", ""Frank Launder"", ""The Last Coupon"", ""Interview with a Hitman""]","[""Perry Bhandal"", ""Frank Launder""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,18,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?",all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Clarence Brown"", ""You Can No Longer Remain Silent"", ""The Goose Woman"", ""Robert A. Stemmle""]","[""Clarence Brown""]","[""The Goose Woman"", ""You Can No Longer Remain Silent"", ""Robert A. Stemmle""]","[""The Goose Woman"", ""You Can No Longer Remain Silent"", ""Robert A. Stemmle"", ""The Past of Mary Holmes"", ""Clarence Brown""]","[""Clarence Brown"", ""Robert A. Stemmle"", ""You Can No Longer Remain Silent"", ""The Goose Woman"", ""The Past of Mary Holmes""]","[""Clarence Brown"", ""Robert A. Stemmle"", ""You Can No Longer Remain Silent"", ""The Goose Woman""]","[""Clarence Brown"", ""Robert A. Stemmle""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,30,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Dino Risi"", ""I'll Be Going Now"", ""William Duncan (actor)"", ""Playing It Wild""]","[""Dino Risi""]","[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now""]","[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Victor Sjöström"", ""Francis J. Grandon""]","[""Dino Risi"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Playing It Wild"", ""Victor Sjöström""]","[""Dino Risi"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Playing It Wild""]","[""William Duncan (actor)"", ""Dino Risi""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,57,"Which film has the director born later, Arrête Ton Cinéma or Agni (2004 Film)?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Swapan Saha"", ""Diane Kurys"", ""Arrête ton cinéma"", ""Agni (2004 film)""]","[""Swapan Saha""]","[""Arrête ton cinéma"", ""Diane Kurys"", ""Agni (2004 film)""]","[""Arrête ton cinéma"", ""Diane Kurys"", ""Agni (2004 film)"", ""Bertrand Tavernier"", ""Garçon stupide""]","[""Diane Kurys"", ""Swapan Saha"", ""Arrête ton cinéma"", ""Agni (2004 film)"", ""Bertrand Tavernier""]","[""Diane Kurys"", ""Swapan Saha"", ""Arrête ton cinéma"", ""Agni (2004 film)""]","[""Diane Kurys"", ""Swapan Saha""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,77,"Which film has the director died later, Lost In The Stratosphere or Blind Man'S Eyes?",gold_absent_from_source_pool,2,0,1,0,1,1,1,1,2,0,0,2,"[{""dbec_title"": ""Blind Man (film)"", ""missing_gold_title"": ""Blind Man's Eyes""}, {""dbec_title"": ""Dead Man's Eyes"", ""missing_gold_title"": ""Blind Man's Eyes""}]","{""gold_absent_from_source_pool"": 1, ""gold_recovered_by_dbec_final"": 1}","[""Melville W. Brown"", ""Blind Man's Eyes"", ""Lost in the Stratosphere"", ""John Ince (actor)""]","[""Blind Man's Eyes"", ""John Ince (actor)""]","[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney""]","[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney"", ""Blind Man's Eyes"", ""Blind Man (film)""]","[""Blind Man's Eyes"", ""Melville W. Brown"", ""Lost in the Stratosphere"", ""Blind Man (film)"", ""Dead Man's Eyes""]","[""Blind Man's Eyes"", ""Melville W. Brown"", ""Lost in the Stratosphere""]","[""Melville W. Brown""]",0.0,0.0,0.0,0,0
2Wiki,2wikimultihopqa,87,"Which film has the director who was born later, The First Day Of Freedom or Malabimba – The Malicious Whore?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Malabimba – The Malicious Whore"", ""Aleksander Ford"", ""Andrea Bianchi"", ""The First Day of Freedom""]","[""Aleksander Ford""]","[""Malabimba – The Malicious Whore"", ""The First Day of Freedom"", ""Andrea Bianchi""]","[""Malabimba – The Malicious Whore"", ""The First Day of Freedom"", ""Andrea Bianchi"", ""Alain Jessua"", ""Fernando Di Leo""]","[""Andrea Bianchi"", ""Aleksander Ford"", ""The First Day of Freedom"", ""Malabimba – The Malicious Whore"", ""Alain Jessua""]","[""Andrea Bianchi"", ""Aleksander Ford"", ""The First Day of Freedom"", ""Malabimba – The Malicious Whore""]","[""Aleksander Ford"", ""Andrea Bianchi""]",0.0,1.0,1.0,1,0
2Wiki,2wikimultihopqa,96,"Which film has the director born later, Romance On The Run or The Palace Of Angels?",all_missing_gold_recovered_by_dbec,1,1,1,0,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Romance on the Run"", ""The Palace of Angels"", ""Walter Hugo Khouri"", ""Gus Meins""]","[""Romance on the Run""]","[""Gus Meins"", ""The Palace of Angels"", ""Walter Hugo Khouri""]","[""Gus Meins"", ""The Palace of Angels"", ""Walter Hugo Khouri"", ""Romance on the Run"", ""The Circus Clown""]","[""Gus Meins"", ""Walter Hugo Khouri"", ""The Palace of Angels"", ""Romance on the Run"", ""The Circus Clown""]","[""Gus Meins"", ""Walter Hugo Khouri"", ""The Palace of Angels"", ""Romance on the Run""]","[""Gus Meins"", ""Walter Hugo Khouri""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,97,"Which film has the director born first, Mord Em'Ly or Ek Hi Bhool (1940 Film)?",all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,2,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Ek Hi Bhool (1940 film)"", ""Vijay Bhatt"", ""George Pearson (filmmaker)"", ""Mord Em'ly""]","[""George Pearson (filmmaker)""]","[""Ek Hi Bhool (1940 film)"", ""Mord Em'ly"", ""Vijay Bhatt""]","[""Ek Hi Bhool (1940 film)"", ""Mord Em'ly"", ""Vijay Bhatt"", ""Ek Hi Bhool"", ""George Pearson (filmmaker)""]","[""George Pearson (filmmaker)"", ""Vijay Bhatt"", ""Jean Grémillon"", ""Ek Hi Bhool (1940 film)"", ""Mord Em'ly""]","[""George Pearson (filmmaker)"", ""Vijay Bhatt"", ""Jean Grémillon"", ""Ek Hi Bhool (1940 film)"", ""Mord Em'ly""]","[""George Pearson (filmmaker)"", ""Vijay Bhatt""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,101,"Which film has the director who was born later, Felices 140 or Dr. Who And The Daleks?",all_missing_gold_recovered_by_dbec,1,1,1,0,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Dr. Who and the Daleks"", ""Felices 140"", ""Gracia Querejeta"", ""Gordon Flemyng""]","[""Dr. Who and the Daleks""]","[""Gordon Flemyng"", ""Felices 140"", ""Gracia Querejeta""]","[""Gordon Flemyng"", ""Felices 140"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Daleks' Invasion Earth 2150 A.D.""]","[""Gordon Flemyng"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Felices 140"", ""Daleks' Invasion Earth 2150 A.D.""]","[""Gordon Flemyng"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Felices 140""]","[""Gracia Querejeta"", ""Gordon Flemyng""]",1.0,1.0,0.0,0,0
