dataset,subset_dataset,variant,query_index,question,repair_em,repair_f1,repair_empty_answer,setr_em,setr_f1,dbec_em,dbec_f1,rank_fill5_available,rank_fill5_em,rank_fill5_f1,delta_em_vs_setr,delta_f1_vs_setr,delta_em_vs_dbec,delta_f1_vs_dbec,delta_em_vs_rank_fill5,delta_f1_vs_rank_fill5,accepted_repair_count,accepted_repair_titles_json,offline_final_support_recall,offline_final_support_complete,offline_rank_support_recall,offline_rank_support_complete,offline_net_gold_delta_vs_rank,offline_harmful_replacement
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,4,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Arne Toonen""]",0.75,0,1.0,1,-1,1
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,8,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Frank Launder""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,18,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Clarence Brown""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,30,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Dino Risi""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,57,"Which film has the director born later, Arrête Ton Cinéma or Agni (2004 Film)?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Swapan Saha""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,77,"Which film has the director died later, Lost In The Stratosphere or Blind Man'S Eyes?",0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Blind Man's Eyes""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,87,"Which film has the director who was born later, The First Day Of Freedom or Malabimba – The Malicious Whore?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Aleksander Ford""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,96,"Which film has the director born later, Romance On The Run or The Palace Of Angels?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Romance on the Run""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,97,"Which film has the director born first, Mord Em'Ly or Ek Hi Bhool (1940 Film)?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""George Pearson (filmmaker)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,101,"Which film has the director who was born later, Felices 140 or Dr. Who And The Daleks?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Dr. Who and the Daleks""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,111,"Which film has the director who is older than the other, The Lone Prairie or Buckaroo From Powder River?",0.0,0.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1,"[""Henry Hathaway""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,121,"Which film has the director who died first, Haiducii (Film) or My Wife'S Best Friend?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Fadil Hadžić""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,125,"Which film whose director was born first, Last Tango In Paris or Beasts Of Prey?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Kim Ki-young""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,140,Do both Possession (1922 Film) and La Boum films have the directors from the same country?,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Claude Pinoteau""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,143,"Which film has the director who is older than the other, Goopy Gyne Bagha Byne or Halloween Kills?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Satyajit Ray""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,149,"Which film whose director is younger, Forbidden Ground or Free Guy?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Ian Barry (director)""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,153,"Which film whose director is younger, Before The Bat'S Flight Is Done or Agar Tum Na Hote?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,180,"Which film has the director born later, Diary Of A Maniac or Return Of The Hero?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Marco Ferreri""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,181,"Which film has the director died later, Dahleez or The Lights Of Buenos Aires?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Dahleez""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,199,"Which film has the director who was born later, Tarzan'S Hidden Jungle or The Brink'S Job?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,"[""William Friedkin""]",0.75,0,0.5,0,1,0
