dataset,base_dataset,query_index,query_idx,question,method,gold_doc_count,support_hit_count,support_recall,support_complete,missing_count,selected_positions_json,selected_titles_json,missing_titles_json,rankgpt_parse_ok,rankgpt_prompt_has_no_think,rankgpt_selected_count,rankgpt_parse_source,rankgpt_error
2Wiki,2wikimultihopqa,0,0,When did Lothair Ii's mother die?,source_order,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Lothair II"", ""Teutberga"", ""Bertha, daughter of Lothair II"", ""Ermengarde of Tours"", ""Waldrada of Lotharingia""]",[],,,,,
2Wiki,2wikimultihopqa,0,0,When did Lothair Ii's mother die?,setr_faithful,2,2,1.0,1,0,"[3, 0, 1, 2, 4]","[""Ermengarde of Tours"", ""Lothair II"", ""Teutberga"", ""Bertha, daughter of Lothair II"", ""Waldrada of Lotharingia""]",[],,,,,
2Wiki,2wikimultihopqa,0,0,When did Lothair Ii's mother die?,dbec_selective,2,2,1.0,1,0,"[3, 0, 1, 2, 4]","[""Ermengarde of Tours"", ""Lothair II"", ""Teutberga"", ""Bertha, daughter of Lothair II"", ""Waldrada of Lotharingia""]",[],,,,,
2Wiki,2wikimultihopqa,0,0,When did Lothair Ii's mother die?,rankgpt_sliding20_step10_no_think,2,2,1.0,1,0,"[3, 0, 1, 4, 5]","[""Ermengarde of Tours"", ""Lothair II"", ""Teutberga"", ""Waldrada of Lotharingia"", ""Theobald of Arles""]",[],1,1,5,json,
2Wiki,2wikimultihopqa,1,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",source_order,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Aas Ka Panchhi"", ""Phoolwari"", ""John Jaffer Janardhanan"", ""Kishore Sahu"", ""Aansoo Ban Gaye Phool""]",[],,,,,
2Wiki,2wikimultihopqa,1,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",setr_faithful,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Aas Ka Panchhi"", ""Phoolwari"", ""John Jaffer Janardhanan"", ""Kishore Sahu"", ""Aansoo Ban Gaye Phool""]",[],,,,,
2Wiki,2wikimultihopqa,1,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",dbec_selective,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Aas Ka Panchhi"", ""Phoolwari"", ""John Jaffer Janardhanan"", ""Kishore Sahu"", ""Aansoo Ban Gaye Phool""]",[],,,,,
2Wiki,2wikimultihopqa,1,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",rankgpt_sliding20_step10_no_think,2,2,1.0,1,0,"[1, 0, 58, 19, 7]","[""Phoolwari"", ""Aas Ka Panchhi"", ""Pyar Ka Bandhan"", ""Ek Hi Bhool (1940 film)"", ""Ek Hi Bhool""]",[],1,1,5,json,
HotpotQA,hotpotqa,0,0,what is one of the stars of  The Newcomers known for,source_order,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""The Newcomers (film)"", ""Chris Evans (actor)"", ""Straw Dogs (2011 film)"", ""12 Years a Slave (score)"", ""Wheelock Whitney""]",[],,,,,
HotpotQA,hotpotqa,0,0,what is one of the stars of  The Newcomers known for,setr_faithful,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""The Newcomers (film)"", ""Chris Evans (actor)"", ""Straw Dogs (2011 film)"", ""12 Years a Slave (score)"", ""Wheelock Whitney""]",[],,,,,
HotpotQA,hotpotqa,0,0,what is one of the stars of  The Newcomers known for,dbec_selective,2,2,1.0,1,0,"[1, 0, 2, 3, 4]","[""Chris Evans (actor)"", ""The Newcomers (film)"", ""Straw Dogs (2011 film)"", ""12 Years a Slave (score)"", ""Wheelock Whitney""]",[],,,,,
HotpotQA,hotpotqa,0,0,what is one of the stars of  The Newcomers known for,rankgpt_sliding20_step10_no_think,2,2,1.0,1,0,"[0, 1, 3, 53, 10]","[""The Newcomers (film)"", ""Chris Evans (actor)"", ""12 Years a Slave (score)"", ""Daniel Kaluuya"", ""Pearl Mackie""]",[],1,1,5,json,
HotpotQA,hotpotqa,1,1,"The fictional private detective that appears in ""The Adventure of the Seven Clocks"" what written by whom?",source_order,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""The Adventure of the Seven Clocks"", ""Sherlock Holmes"", ""He Who Whispers"", ""Pepe Carvalho"", ""Nick Carter, Master Detective""]",[],,,,,
