dataset,subset_dataset,subset_index,query_index,question,gold_doc_count,gold_titles_json,setr_selected_count,setr_em,setr_f1,setr_support_recall,setr_support_complete,setr_support_missing_count,setr_titles_json,dbec_selected_count,dbec_em,dbec_f1,dbec_support_recall,dbec_support_complete,dbec_support_missing_count,dbec_recovered_missing_count,dbec_titles_json,requirement_count,dependent_req_count,selective_binding_decision,rank_fill5_answer,rank_fill5_em,rank_fill5_f1,rank_fill5_empty_answer,rank_fill5_selected_count,rank_fill5_support_hit_count,rank_fill5_support_missing_count,rank_fill5_support_recall,rank_fill5_support_complete,rank_fill5_actual_added_count,rank_fill5_rank_fill_count,rank_fill5_titles_json,oracle_fill5_answer,oracle_fill5_em,oracle_fill5_f1,oracle_fill5_empty_answer,oracle_fill5_selected_count,oracle_fill5_support_hit_count,oracle_fill5_support_missing_count,oracle_fill5_support_recall,oracle_fill5_support_complete,oracle_fill5_actual_added_count,oracle_fill5_rank_fill_count,oracle_fill5_titles_json,dbec_repair_fill5_answer,dbec_repair_fill5_em,dbec_repair_fill5_f1,dbec_repair_fill5_empty_answer,dbec_repair_fill5_selected_count,dbec_repair_fill5_support_hit_count,dbec_repair_fill5_support_missing_count,dbec_repair_fill5_support_recall,dbec_repair_fill5_support_complete,dbec_repair_fill5_actual_added_count,dbec_repair_fill5_rank_fill_count,dbec_repair_fill5_titles_json
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,0,4,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",4,"[""Aldri annet enn bråk"", ""God's Gift to Women"", ""Michael Curtiz"", ""Edith Carlmar""]",3,1.0,1.0,0.5,0,2,"[""Edith Carlmar"", ""God's Gift to Women"", ""Altid ballade""]",5,1.0,1.0,0.75,0,1,1,"[""Arne Toonen"", ""Edith Carlmar"", ""God's Gift to Women"", ""Aldri annet enn bråk"", ""Altid ballade""]",4,2,bind,God's Gift to Women.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""Edith Carlmar"", ""God's Gift to Women"", ""Altid ballade"", ""Aldri annet enn bråk"", ""Michael Curtiz""]",God's Gift to Women.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Edith Carlmar"", ""God's Gift to Women"", ""Altid ballade"", ""Aldri annet enn bråk"", ""Michael Curtiz""]",God's Gift to Women.,1.0,1.0,0,5,3,1,0.75,0,2,0,"[""Edith Carlmar"", ""God's Gift to Women"", ""Altid ballade"", ""Arne Toonen"", ""Aldri annet enn bråk""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,1,8,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,4,"[""Interview with a Hitman"", ""The Last Coupon"", ""Frank Launder"", ""Perry Bhandal""]",3,1.0,1.0,0.75,0,1,"[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal""]",5,1.0,1.0,1.0,1,0,1,"[""Perry Bhandal"", ""Frank Launder"", ""The Last Coupon"", ""Interview with a Hitman"", ""Spring Handicap""]",4,2,bind,Yes.,1.0,1.0,0,5,3,1,0.75,0,2,2,"[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal"", ""Spring Handicap"", ""Safe (2012 film)""]",Yes.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal"", ""Frank Launder"", ""Spring Handicap""]",Yes.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal"", ""Frank Launder"", ""Spring Handicap""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,2,18,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?",4,"[""Clarence Brown"", ""You Can No Longer Remain Silent"", ""The Goose Woman"", ""Robert A. Stemmle""]",3,0.0,0.0,0.75,0,1,"[""The Goose Woman"", ""You Can No Longer Remain Silent"", ""Robert A. Stemmle""]",5,1.0,1.0,1.0,1,0,1,"[""Clarence Brown"", ""Robert A. Stemmle"", ""You Can No Longer Remain Silent"", ""The Goose Woman"", ""The Past of Mary Holmes""]",4,2,bind,You Can No Longer Remain Silent.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""The Goose Woman"", ""You Can No Longer Remain Silent"", ""Robert A. Stemmle"", ""The Past of Mary Holmes"", ""Clarence Brown""]",You Can No Longer Remain Silent.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""The Goose Woman"", ""You Can No Longer Remain Silent"", ""Robert A. Stemmle"", ""Clarence Brown"", ""The Past of Mary Holmes""]",You Can No Longer Remain Silent.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""The Goose Woman"", ""You Can No Longer Remain Silent"", ""Robert A. Stemmle"", ""Clarence Brown"", ""The Past of Mary Holmes""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,3,30,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",4,"[""Dino Risi"", ""I'll Be Going Now"", ""William Duncan (actor)"", ""Playing It Wild""]",3,1.0,1.0,0.75,0,1,"[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now""]",5,1.0,1.0,1.0,1,0,1,"[""Dino Risi"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Playing It Wild"", ""Victor Sjöström""]",4,2,bind,I'll Be Going Now.,1.0,1.0,0,5,3,1,0.75,0,2,2,"[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Victor Sjöström"", ""Francis J. Grandon""]",I'll Be Going Now.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Dino Risi"", ""Victor Sjöström""]",I'll Be Going Now.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Dino Risi"", ""Victor Sjöström""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,4,57,"Which film has the director born later, Arrête Ton Cinéma or Agni (2004 Film)?",4,"[""Swapan Saha"", ""Diane Kurys"", ""Arrête ton cinéma"", ""Agni (2004 film)""]",3,1.0,1.0,0.75,0,1,"[""Arrête ton cinéma"", ""Diane Kurys"", ""Agni (2004 film)""]",5,1.0,1.0,1.0,1,0,1,"[""Diane Kurys"", ""Swapan Saha"", ""Arrête ton cinéma"", ""Agni (2004 film)"", ""Bertrand Tavernier""]",4,2,bind,Arrête ton cinéma.,1.0,1.0,0,5,3,1,0.75,0,2,2,"[""Arrête ton cinéma"", ""Diane Kurys"", ""Agni (2004 film)"", ""Bertrand Tavernier"", ""Garçon stupide""]",Arrête ton cinéma.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Arrête ton cinéma"", ""Diane Kurys"", ""Agni (2004 film)"", ""Swapan Saha"", ""Bertrand Tavernier""]",Arrête ton cinéma.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Arrête ton cinéma"", ""Diane Kurys"", ""Agni (2004 film)"", ""Swapan Saha"", ""Bertrand Tavernier""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,5,77,"Which film has the director died later, Lost In The Stratosphere or Blind Man'S Eyes?",4,"[""Melville W. Brown"", ""Blind Man's Eyes"", ""Lost in the Stratosphere"", ""John Ince (actor)""]",3,0.0,0.0,0.5,0,2,"[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney""]",5,0.0,0.0,0.75,0,1,1,"[""Blind Man's Eyes"", ""Melville W. Brown"", ""Lost in the Stratosphere"", ""Blind Man (film)"", ""Dead Man's Eyes""]",4,2,bind,Lost in the Stratosphere.,0.0,0.0,0,5,3,1,0.75,0,2,2,"[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney"", ""Blind Man's Eyes"", ""Blind Man (film)""]",Lost in the Stratosphere.,0.0,0.0,0,5,3,1,0.75,0,2,1,"[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney"", ""Blind Man's Eyes"", ""Blind Man (film)""]",Lost in the Stratosphere.,0.0,0.0,0,5,3,1,0.75,0,2,0,"[""Lost in the Stratosphere"", ""Melville W. Brown"", ""William Cagney"", ""Blind Man's Eyes"", ""Blind Man (film)""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,6,87,"Which film has the director who was born later, The First Day Of Freedom or Malabimba – The Malicious Whore?",4,"[""Malabimba – The Malicious Whore"", ""Aleksander Ford"", ""Andrea Bianchi"", ""The First Day of Freedom""]",3,0.0,0.0,0.75,0,1,"[""Malabimba – The Malicious Whore"", ""The First Day of Freedom"", ""Andrea Bianchi""]",5,1.0,1.0,1.0,1,0,1,"[""Andrea Bianchi"", ""Aleksander Ford"", ""The First Day of Freedom"", ""Malabimba – The Malicious Whore"", ""Alain Jessua""]",4,2,bind,Malabimba – The Malicious Whore.,1.0,1.0,0,5,3,1,0.75,0,2,2,"[""Malabimba – The Malicious Whore"", ""The First Day of Freedom"", ""Andrea Bianchi"", ""Alain Jessua"", ""Fernando Di Leo""]",Malabimba – The Malicious Whore.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Malabimba – The Malicious Whore"", ""The First Day of Freedom"", ""Andrea Bianchi"", ""Aleksander Ford"", ""Alain Jessua""]",Malabimba – The Malicious Whore.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Malabimba – The Malicious Whore"", ""The First Day of Freedom"", ""Andrea Bianchi"", ""Aleksander Ford"", ""Alain Jessua""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,7,96,"Which film has the director born later, Romance On The Run or The Palace Of Angels?",4,"[""Romance on the Run"", ""The Palace of Angels"", ""Walter Hugo Khouri"", ""Gus Meins""]",3,1.0,1.0,0.75,0,1,"[""Gus Meins"", ""The Palace of Angels"", ""Walter Hugo Khouri""]",5,1.0,1.0,1.0,1,0,1,"[""Gus Meins"", ""Walter Hugo Khouri"", ""The Palace of Angels"", ""Romance on the Run"", ""The Circus Clown""]",4,2,bind,The Palace of Angels.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""Gus Meins"", ""The Palace of Angels"", ""Walter Hugo Khouri"", ""Romance on the Run"", ""The Circus Clown""]",The Palace of Angels.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Gus Meins"", ""The Palace of Angels"", ""Walter Hugo Khouri"", ""Romance on the Run"", ""The Circus Clown""]",The Palace of Angels.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Gus Meins"", ""The Palace of Angels"", ""Walter Hugo Khouri"", ""Romance on the Run"", ""The Circus Clown""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,8,97,"Which film has the director born first, Mord Em'Ly or Ek Hi Bhool (1940 Film)?",4,"[""Ek Hi Bhool (1940 film)"", ""Vijay Bhatt"", ""George Pearson (filmmaker)"", ""Mord Em'ly""]",3,1.0,1.0,0.75,0,1,"[""Ek Hi Bhool (1940 film)"", ""Mord Em'ly"", ""Vijay Bhatt""]",5,1.0,1.0,1.0,1,0,1,"[""George Pearson (filmmaker)"", ""Vijay Bhatt"", ""Jean Grémillon"", ""Ek Hi Bhool (1940 film)"", ""Mord Em'ly""]",4,2,bind,Mord Em'ly.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""Ek Hi Bhool (1940 film)"", ""Mord Em'ly"", ""Vijay Bhatt"", ""Ek Hi Bhool"", ""George Pearson (filmmaker)""]",Mord Em'ly.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Ek Hi Bhool (1940 film)"", ""Mord Em'ly"", ""Vijay Bhatt"", ""George Pearson (filmmaker)"", ""Ek Hi Bhool""]",Mord Em'ly.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Ek Hi Bhool (1940 film)"", ""Mord Em'ly"", ""Vijay Bhatt"", ""George Pearson (filmmaker)"", ""Jean Grémillon""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,9,101,"Which film has the director who was born later, Felices 140 or Dr. Who And The Daleks?",4,"[""Dr. Who and the Daleks"", ""Felices 140"", ""Gracia Querejeta"", ""Gordon Flemyng""]",3,1.0,1.0,0.75,0,1,"[""Gordon Flemyng"", ""Felices 140"", ""Gracia Querejeta""]",5,1.0,1.0,1.0,1,0,1,"[""Gordon Flemyng"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Felices 140"", ""Daleks' Invasion Earth 2150 A.D.""]",4,2,bind,Felices 140.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""Gordon Flemyng"", ""Felices 140"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Daleks' Invasion Earth 2150 A.D.""]",Felices 140.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Gordon Flemyng"", ""Felices 140"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Daleks' Invasion Earth 2150 A.D.""]",Felices 140.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Gordon Flemyng"", ""Felices 140"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Daleks' Invasion Earth 2150 A.D.""]"
