dataset,question,query_type,oracle_label,selected_by_dryrun,selected_by_judge,claim_mode,candidate_pool_position,replace_pool_position,candidate_title,replace_incumbent_title,score_delta,oracle_delta_em,oracle_delta_f1,earliest_unsupported_claim_id,earliest_unsupported_claim_text,gain_verifier_verdict,action_skip_reason,action_should_swap,preservation_unique_support_claim_ids
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,heuristic_tiers,57,8,List of UEFA club competition winners,FC Barcelona,-6.1455,1.0,1.0,t1_f1,Identify the bridge entity or relation involving messi. Question: When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,,gain_verifier_reject,False,[]
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,heuristic_tiers,57,2,List of UEFA club competition winners,FC Barcelona,-5.9834,1.0,1.0,t1_f1,Identify the bridge entity or relation involving messi. Question: When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,,gain_verifier_reject,False,[]
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,heuristic_tiers,44,8,Manchester City F.C.,FC Barcelona,-4.5361,1.0,1.0,t1_f1,Identify the bridge entity or relation involving messi. Question: When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,,gain_verifier_reject,False,[]
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,heuristic_tiers,44,2,Manchester City F.C.,FC Barcelona,-4.374,1.0,1.0,t1_f1,Identify the bridge entity or relation involving messi. Question: When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,,gain_verifier_reject,False,[]
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,heuristic_tiers,29,8,Argentina v England (1986 FIFA World Cup),FC Barcelona,-4.665,1.0,1.0,t1_f1,Identify the bridge entity or relation involving messi. Question: When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,,gain_verifier_reject,False,[]
musique,When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,standard,positive,False,False,heuristic_tiers,29,2,Argentina v England (1986 FIFA World Cup),FC Barcelona,-4.5029,1.0,1.0,t1_f1,Identify the bridge entity or relation involving messi. Question: When was the person who Messi's goals in Copa del Rey compared to get signed by Barcelona?,,gain_verifier_reject,False,[]
musique,"What month did the Tripartite discussions begin between Britain, France, and the country where, despite being headquartered in the nation called the nobilities commonwealth, the top-ranking Warsaw Pact operatives originated?",standard,negative,False,False,heuristic_tiers,30,8,Cold War,Warsaw Pact,-2.6641,0.0,0.0,t1_f1,"Identify the bridge entity or relation involving britain. Question: What month did the Tripartite discussions begin between Britain, France, and the country where, despite being headquartered in the nation called the nobilities commonwealth, the top-ranking Warsaw Pact operatives originated?",,gain_verifier_reject,False,[]
musique,"What month did the Tripartite discussions begin between Britain, France, and the country where, despite being headquartered in the nation called the nobilities commonwealth, the top-ranking Warsaw Pact operatives originated?",standard,negative,False,False,heuristic_tiers,30,4,Cold War,Warsaw Pact,-2.3457,0.0,0.0,t1_f1,"Identify the bridge entity or relation involving britain. Question: What month did the Tripartite discussions begin between Britain, France, and the country where, despite being headquartered in the nation called the nobilities commonwealth, the top-ranking Warsaw Pact operatives originated?",,gain_verifier_reject,False,[]
musique,"What month did the Tripartite discussions begin between Britain, France, and the country where, despite being headquartered in the nation called the nobilities commonwealth, the top-ranking Warsaw Pact operatives originated?",standard,negative,False,False,heuristic_tiers,84,8,Pacific War,Warsaw Pact,-5.0195,0.0,0.0,t1_f1,"Identify the bridge entity or relation involving britain. Question: What month did the Tripartite discussions begin between Britain, France, and the country where, despite being headquartered in the nation called the nobilities commonwealth, the top-ranking Warsaw Pact operatives originated?",,gain_verifier_reject,False,[]
musique,What year did the publisher of Labyrinth end?,standard,negative,False,False,flat_fallback,55,4,The Lord of the Rings,Acornsoft,0.0391,0.0,0.0,v1,Evidence about labyrinth. Question: What year did the publisher of Labyrinth end?,,gain_verifier_reject,False,[]
