query_index,question,gold_titles,gold_doc_indices,etv3_top5_titles,stable_top5_titles,missing_gold_count_after_stable,missing_gold_titles_after_stable,stable_f1,stable_em,etv3_f1,etv3_em,etv3_reader10_f1,stable_dbec_reader10_f1,conservative_dbec_f1,etv3_qa_f1,all_missing_in_pool100,all_missing_in_candidate200,all_missing_in_stable_reader10,all_missing_state_bindable_proxy,any_missing_state_bindable_proxy,all_missing_positive_dbec_signal,any_missing_positive_dbec_signal,binding_candidate_titles,selected_binding_titles,binding_wrong_branch_proxy,near_title_substitution_proxy,selected_non_gold_titles,safe_decision,safe_rebuild_titles,safe_swap_count,primary_bucket
5,When was the region immediately north of the region where Israel is located and the location of the Battle of Qurah and Umm al Maradim created?,Israel || Battle of Qurah and Umm al Maradim || History of Saudi Arabia || Geography of Saudi Arabia,"[102, 104, 110, 112]",Battle of Qurah and Umm al Maradim || Israel || History of Israel || Israel || Kingdom of Israel (united monarchy),Battle of Qurah and Umm al Maradim || Israel || History of Israel || Kingdom of Israel (united monarchy),2,History of Saudi Arabia || Geography of Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,Battle of Qurah and Umm al Maradim,Battle of Qurah and Umm al Maradim,False,False,Israel || History of Israel,fallback_no_eligible_swap,Battle of Qurah and Umm al Maradim || Israel || Kingdom of Israel (united monarchy),0,C_missing_from_etv3_candidate200
6,Where does the body of water by the city where the Southeast Library designer died empty into the Gulf of Mexico?,Southeast Library || Minneapolis || Riverside Plaza || Mississippi River,"[119, 120, 124, 133]",Southeast Library || Riverside Plaza || Colorado River (Texas) || Gulf of Mexico || Stockholm Public Library,Southeast Library || The Hague City Hall || Colorado River (Texas) || Gulf of Mexico || Stockholm Public Library,3,Riverside Plaza || Mississippi River || Minneapolis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,The Hague City Hall,The Hague City Hall,True,False,The Hague City Hall || Colorado River (Texas) || Gulf of Mexico || Stockholm Public Library,minimal_edit_applied,Southeast Library || The Hague City Hall,1,C_outside_dbec_pool100_inside_candidate200
7,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,"The Right Stuff Records || Sony Music || Santa Monica, California || Vilaiyaadu Mankatha","[146, 147, 148, 158]",Vilaiyaadu Mankatha || American Idol || Kathmandu || Francisco de Orellana || Biltmore Records,Vilaiyaadu Mankatha || American Idol || Prysmian Group || Francisco de Orellana || Biltmore Records,3,"Sony Music || The Right Stuff Records || Santa Monica, California",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,American Idol || Jive Records || Sony Music || Prysmian Group,American Idol || Prysmian Group || Jive Records || Sony Music,True,False,American Idol || Prysmian Group || Francisco de Orellana || Biltmore Records,minimal_edit_applied,American Idol || Prysmian Group || Vilaiyaadu Mankatha,1,C_missing_from_etv3_candidate200
11,How were the people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the country between Thailand and A Lim's country?,Geography of Myanmar || Ottoman Empire || A Lim || Myanmar,"[217, 220, 225, 235]",A Lim || Ottoman Empire || Somalis || Somalis || Somalis,A Lim || Ottoman Empire || Somalis,2,Myanmar || Geography of Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,,,False,False,Somalis,fallback_no_eligible_swap,A Lim || Ottoman Empire,0,C_outside_dbec_pool100_inside_candidate200
24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,César Gaytan || Sebastian Cabot (explorer) || Paula Santiago || John Cabot,"[470, 474, 476, 482]",César Gaytan || Mexico || Sebastian Cabot (explorer) || Exploration of North America || John Cabot,César Gaytan || Mexico || Sebastian Cabot (explorer) || Exploration of North America || John Cabot,1,Paula Santiago,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,False,False,False,Mexico || Exploration of North America || John Cabot || Sebastian Cabot (explorer),Mexico || Exploration of North America || John Cabot || Sebastian Cabot (explorer),True,False,Mexico || Exploration of North America,fallback_no_eligible_swap,Mexico || Exploration of North America || César Gaytan,0,already_answered_by_stable_dbec
30,When did the city where Greenwood Laboratory School is located become capitol of the state where the screenwriter of The Poor Boob was born?,"Greenwood Laboratory School || Margaret Mayo (playwright) || Springfield, Illinois || The Poor Boob","[580, 582, 583, 584]",Greenwood Laboratory School || Missouri || The Poor Boob || Jehan Gordon-Booth || Indiana,Greenwood Laboratory School || Missouri || Margaret Mayo (playwright) || Paris || Indiana,2,"The Poor Boob || Springfield, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,"Hillcrest High School (Springfield, Missouri) || Margaret Mayo (playwright) || Pierre Bost || Paris","Hillcrest High School (Springfield, Missouri) || Margaret Mayo (playwright) || Paris || Pierre Bost",True,False,Missouri || Paris || Indiana,minimal_edit_applied,"Hillcrest High School (Springfield, Missouri) || Margaret Mayo (playwright) || Paris || Greenwood Laboratory School",2,B_wrong_binding_or_state_extraction
33,When was the region immediately north of the region that prevailed with the disgrace of Near East and the terrain feature on which shamal is located created?,Shamal (wind) || Near East || History of Saudi Arabia || Geography of Saudi Arabia,"[102, 619, 112, 629]",Near East || Middle East || Shamal (wind) || Near East || Nilo Syrtis,Near East || Middle East || Shamal (wind) || Nilo Syrtis,2,History of Saudi Arabia || Geography of Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,Middle East,Middle East,True,False,Middle East || Nilo Syrtis,fallback_no_eligible_swap,Near East || Middle East || Shamal (wind),0,B_wrong_binding_or_state_extraction
39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,World Series || New York Yankees || Major League Baseball Most Valuable Player Award || 1999 Major League Baseball draft,"[734, 737, 745, 746]",Major League Baseball Most Valuable Player Award || 2016 NBA Summer League || 1999 Major League Baseball draft || Major League Baseball draft || Major League Baseball All-Star Game Most Valuable Player Award,Major League Baseball Most Valuable Player Award || 2016 NBA Summer League || 1999 Major League Baseball draft || Major League Baseball draft || Major League Baseball All-Star Game Most Valuable Player Award,2,New York Yankees || World Series,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,False,False,Major League Baseball Most Valuable Player Award || World Series || Major League Baseball All-Star Game Most Valuable Player Award || Willie Mays || Mike Trout,Major League Baseball Most Valuable Player Award || World Series || Major League Baseball All-Star Game Most Valuable Player Award || Willie Mays || Mike Trout,True,False,2016 NBA Summer League || Major League Baseball draft || Major League Baseball All-Star Game Most Valuable Player Award,fallback_no_eligible_swap,Major League Baseball Most Valuable Player Award,0,already_answered_by_stable_dbec
49,How many ethnic minorities were looked at differently in the city where the headquarters of the only group larger than Långa nätter's record label is located?,"Långa nätter || Santa Monica, California || The Right Stuff Records || Sony Music","[148, 929, 146, 931]",Långa nätter || American Idol || Jive Records || Miami || Nanjing,Långa nätter || Burning Heart Records || Jive Records || Miami || Nanjing,3,"The Right Stuff Records || Santa Monica, California || Sony Music",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,Burning Heart Records || Roxy Recordings || Stockholm || Sleaszy Rider Records || New York City,Burning Heart Records || Roxy Recordings || Stockholm || Sleaszy Rider Records || New York City,True,False,Burning Heart Records || Jive Records || Miami || Nanjing,minimal_edit_applied,Burning Heart Records || Långa nätter,1,C_missing_from_etv3_candidate200
51,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Three is from?,"Desert Diamond West Valley Phoenix Grand Prix || Mingus Three || Charles Mingus || Tucson, Arizona","[948, 951, 959, 962]","Mingus Three || Charles Mingus || Indiana || Saint Paul, Minnesota || Logan Gomez",Mingus Three || Charles Mingus || United States || Oklahoma City || Logan Gomez,2,"Tucson, Arizona || Desert Diamond West Valley Phoenix Grand Prix",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,Charles Mingus || Charles Mingus || United States || Arizona || Oklahoma City || Minneapolis || Detroit,Charles Mingus || United States || Oklahoma City || Minneapolis || Detroit || Arizona,True,False,United States || Oklahoma City || Logan Gomez,minimal_edit_applied,Charles Mingus || United States || Oklahoma City || Mingus Three || Oh Yeah (Charles Mingus album),2,B_wrong_binding_or_state_extraction
