dataset,query_index,question,risk_group,risk_high,requirement_count,dependent_req_count,max_dependency_depth,binding_candidate_count_total,binding_candidate_count_mean,binding_candidate_count_max,gold_doc_count,setr_selected_count,setr_under_selected,dbec_em,dbec_f1,setr_em,setr_f1,delta_em_dbec_minus_setr,delta_f1_dbec_minus_setr,dbec_r5_title,setr_r5_title,delta_r5_title_dbec_minus_setr,setr_parse_success,setr_empty_fallback_used,selective_binding_decision
2Wiki,0,When did Lothair Ii's mother die?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,2,What is the place of birth of the performer of song Changed It?,low,0,2,1,1,2.0,2.0,2.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1,0,bind
2Wiki,3,Are Marufabad and Nasamkhrali both located in the same country?,high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,4,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",high,1,4,2,1,3.0,1.5,2.0,4,3,1,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.5,0.25,1,0,bind
2Wiki,5,"Which film whose director was born first, El Tonto or The Heart Of Doreon?",high,1,4,2,1,3.0,1.5,2.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,1.0,-0.25,1,0,bind
2Wiki,6,Who was born first out of Aivar Kuusmaa and Andy Summers?,high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,7,Who is Raghnall Mac Ruaidhrí's paternal grandfather?,high,1,3,2,2,5.0,2.5,4.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,8,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,high,1,4,2,1,2.0,1.0,1.0,4,3,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.25,1,0,bind
2Wiki,9,What nationality is the director of film Blood Street?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.6667,0.0,0.6666666666666666,0.0,3.333333333332966e-05,1.0,1.0,0.0,1,0,bind
2Wiki,10,What is the place of birth of the director of film Gaby: A True Story?,low,0,2,1,1,2.0,2.0,2.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,11,Are Vasilyevsky Island and Preobrazheniya Island located in the same country?,high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,12,What nationality is the performer of song When The Stars Go Blue?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,13,Who is the child of the performer of song Me And Bobby Mcgee?,low,0,2,1,1,2.0,2.0,2.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1,0,bind
2Wiki,14,"Where was the place of death of Maurice, Prince Of Orange's father?",low,0,2,1,1,3.0,3.0,3.0,2,3,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1,0,bind
2Wiki,15,Which country Aleksander Koniecpolski (1620–1659)'s father is from?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1,0,bind
2Wiki,16,What is the date of death of the director of film Madame La Presidente?,low,0,2,1,1,2.0,2.0,2.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
