dataset,question,query_type,oracle_label,selected_by_dryrun,selected_by_judge,query_tier_mode,bottleneck_tier_index,target_facet_id,candidate_pool_position,replace_pool_position,candidate_title,replace_incumbent_title,score_delta,oracle_delta_em,oracle_delta_f1,target_candidate_gain,replacee_loss_earlier_tiers,replacee_loss_same_tier,replacee_loss_target_facet,swap_gain_vs_loss,action_should_swap
2wikimultihopqa,When did Lothair Ii's mother die?,standard,negative,False,False,heuristic_tiers,,,72,2,Charlemagne,Teutberga,-2.4326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,When did Lothair Ii's mother die?,standard,negative,False,False,heuristic_tiers,,,72,6,Charlemagne,Louis the Pious,-2.1172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,flat_fallback,,,67,4,Har Dil Jo Pyar Karega,Phalitamsha,1.6055,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,flat_fallback,,,67,7,Har Dil Jo Pyar Karega,Chaowa Pawa (2009 film),1.7774,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,flat_fallback,,,35,4,Rani Mukerji,Phalitamsha,3.5703,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,True,False,flat_fallback,,,35,7,Rani Mukerji,Chaowa Pawa (2009 film),3.7422,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,flat_fallback,,,26,4,Goopy Gyne Bagha Byne,Phalitamsha,0.9609,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,flat_fallback,,,26,7,Goopy Gyne Bagha Byne,Chaowa Pawa (2009 film),1.1328,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What is the place of birth of the performer of song Changed It?,standard,positive,False,False,flat_fallback,,,81,4,...Baby One More Time (album),2 Chainz,-3.6738,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What is the place of birth of the performer of song Changed It?,standard,positive,False,False,flat_fallback,,,81,5,...Baby One More Time (album),Alex da Kid,-3.4902,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What is the place of birth of the performer of song Changed It?,standard,positive,False,False,flat_fallback,,,62,4,Alicia Keys,2 Chainz,0.2197,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What is the place of birth of the performer of song Changed It?,standard,positive,False,False,flat_fallback,,,62,5,Alicia Keys,Alex da Kid,0.4033,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What is the place of birth of the performer of song Changed It?,standard,positive,False,False,flat_fallback,,,25,4,Jay-Z,2 Chainz,1.2484,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What is the place of birth of the performer of song Changed It?,standard,positive,True,False,flat_fallback,,,25,5,Jay-Z,Alex da Kid,1.432,0.0,0.75,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",standard,negative,True,False,flat_fallback,,,87,8,Ingmar Bergman,Lasse Hallström,0.6328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Who is Raghnall Mac Ruaidhrí's paternal grandfather?,standard,positive,False,False,flat_fallback,,,13,5,Connad Cerr,Dáire Drechlethan,-1.8282,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Who is Raghnall Mac Ruaidhrí's paternal grandfather?,standard,positive,False,False,flat_fallback,,,13,4,Connad Cerr,Conall mac Comgaill,-1.6328,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Who is Raghnall Mac Ruaidhrí's paternal grandfather?,standard,positive,False,False,flat_fallback,,,12,5,Conall mac Taidg,Dáire Drechlethan,-0.7266,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Who is Raghnall Mac Ruaidhrí's paternal grandfather?,standard,positive,False,False,flat_fallback,,,12,4,Conall mac Taidg,Conall mac Comgaill,-0.5312,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What nationality is the performer of song When The Stars Go Blue?,standard,negative,False,False,flat_fallback,,,55,8,Frank Sinatra,Elan Atias,1.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What nationality is the performer of song When The Stars Go Blue?,standard,negative,False,False,flat_fallback,,,55,6,Frank Sinatra,Astrid North,1.4873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What nationality is the performer of song When The Stars Go Blue?,standard,negative,True,False,flat_fallback,,,47,6,Alicia Keys,Astrid North,1.8833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Who is the child of the performer of song Me And Bobby Mcgee?,standard,negative,False,False,flat_fallback,,,28,6,Katy Too,Chuck Berry,-5.2774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Who is the child of the performer of song Me And Bobby Mcgee?,standard,negative,False,False,flat_fallback,,,28,8,Katy Too,David Williams (guitarist),-4.0938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Where was the place of death of Maurice, Prince Of Orange's father?",standard,positive,False,False,heuristic_tiers,,,72,3,"Charles II, Duke of Parma","Louis of Nassau, Lord of De Lek and Beverweerd",-5.4365,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Where was the place of death of Maurice, Prince Of Orange's father?",standard,negative,False,False,heuristic_tiers,,,72,4,"Charles II, Duke of Parma",William the Silent,-4.5928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,"Where was the place of death of Maurice, Prince Of Orange's father?",standard,positive,False,False,heuristic_tiers,,,13,3,Amalia of Solms-Braunfels,"Louis of Nassau, Lord of De Lek and Beverweerd",-2.8193,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Which country Aleksander Koniecpolski (1620–1659)'s father is from?,standard,negative,False,False,flat_fallback,,,16,3,Roman Polanski,Alexander of Masovia,-0.1797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Which country Aleksander Koniecpolski (1620–1659)'s father is from?,standard,negative,True,False,flat_fallback,,,16,4,Roman Polanski,Aleksander Ford,0.4453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Which country Aleksander Koniecpolski (1620–1659)'s father is from?,standard,negative,False,False,flat_fallback,,,57,3,Aleksandr Aleksandrovich Bibikov,Alexander of Masovia,-2.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Which country Aleksander Koniecpolski (1620–1659)'s father is from?,standard,negative,False,False,flat_fallback,,,57,4,Aleksandr Aleksandrovich Bibikov,Aleksander Ford,-1.4414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Where was the director of film The Private Life Of Cinema born?,standard,positive,False,False,flat_fallback,,,54,8,Kim Ki-young,Roger Corman,0.1446,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,Where was the director of film The Private Life Of Cinema born?,standard,positive,True,False,flat_fallback,,,54,9,Kim Ki-young,Rudolph Maté,1.1426,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What is the place of birth of the director of film The Return Of Swamp Thing?,standard,negative,False,False,flat_fallback,,,21,3,Roger Corman,Jim Wynorski,0.8516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2wikimultihopqa,What is the place of birth of the director of film The Return Of Swamp Thing?,standard,positive,True,False,flat_fallback,,,21,5,Roger Corman,Swapan Saha,1.9844,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False
