dataset,query_index,question,gold_doc_count,gold_doc_indices,selected_top5,candidate_count,ExactMatch,F1,answer_string_hit_at5,gold_count_at5,failure_bucket,missing_gold_count_top5,missing_gold_doc_indices_top5,missing_gold_titles_top5,missing_gold_ranks_candidate200,missing_gold_rank_buckets,max_missing_gold_rank_candidate200,max_missing_gold_rank_bucket,near_title_substitution_proxy,selected_non_gold_titles,all_gold_at5,any_gold_at5,recall_at5,all_gold_at10,any_gold_at10,recall_at10,all_gold_at20,any_gold_at20,recall_at20,all_gold_at50,any_gold_at50,recall_at50,all_gold_at100,any_gold_at100,recall_at100,all_gold_at200,any_gold_at200,recall_at200
2wikimultihopqa,0,When did Lothair Ii's mother die?,2,"[4, 5]","[0, 6, 4, 8, 5]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Teutberga', 'Bertha, daughter of Lothair II', 'Waldrada of Lotharingia']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",2,"[17, 19]","[17, 19, 2177, 6006, 5158]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Aansoo Ban Gaye Phool', 'Kishore Sahu', 'Dasari Narayana Rao']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,2,What is the place of birth of the performer of song Changed It?,2,"[22, 24]","[22, 24, 2595, 1345, 5526]",200,0.0,0.75,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['You Changed Me', 'Zhang Ye (singer)', 'Suzanitta']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,3,Are Marufabad and Nasamkhrali both located in the same country?,2,"[31, 39]","[31, 3537, 39, 4710, 2318]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Ismail I', 'Marzuban ibn Bakhtiyar', 'Qaleh-ye Nashin Shahi']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,4,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",4,"[46, 41, 47, 44]","[46, 47, 41, 44, 360]",200,1.0,1.0,True,4.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,['Lina Wertmüller'],True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,5,"Which film whose director was born first, El Tonto or The Heart Of Doreon?",4,"[50, 51, 53, 54]","[50, 53, 51, 865, 1949]",200,1.0,1.0,True,3.0,candidate200_complete_top5_incomplete,1,[54],['Robert North Bradbury'],[22],['rank21_50'],22,rank21_50,False,"['Heart (1987 film)', 'Juan Bustillo Oro']",False,True,0.75,False,True,0.75,False,True,0.75,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,6,Who was born first out of Aivar Kuusmaa and Andy Summers?,2,"[60, 65]","[60, 1272, 65, 316, 5081]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Eric XIV of Sweden', 'Jonny Greenwood', 'Keith Emerson']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,7,Who is Raghnall Mac Ruaidhrí's paternal grandfather?,2,"[75, 73]","[75, 73, 1015, 1159, 813]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Dáire Drechlethan', 'Comgall mac Domangairt', 'Tnúthgal mac Donngaile']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,8,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,4,"[85, 84, 81, 76]","[85, 84, 81, 1256, 83]",200,1.0,1.0,False,3.0,candidate200_complete_top5_incomplete,1,[76],['Frank Launder'],[22],['rank21_50'],22,rank21_50,False,"['The Umbrella Coup', 'Spring Handicap']",False,True,0.75,False,True,0.75,False,True,0.75,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,9,What nationality is the director of film Blood Street?,2,"[87, 92]","[87, 92, 88, 4535, 4348]",200,0.0,0.6667,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Jackie Kong', 'Rod Hardy', 'Mikael Håfström']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,10,What is the place of birth of the director of film Gaby: A True Story?,2,"[102, 103]","[102, 103, 4535, 862, 292]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Rod Hardy', 'Bertrand Tavernier', 'Claude Weisz']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,11,Are Vasilyevsky Island and Preobrazheniya Island located in the same country?,2,"[107, 106]","[106, 107, 2747, 104, 108]",200,1.0,1.0,False,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Abdul-Vahed Niyazov', 'Runmarö', 'Jeløya']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,12,What nationality is the performer of song When The Stars Go Blue?,2,"[116, 118]","[116, 118, 117, 5126, 4517]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Andrea Corr', 'When Your Love is Gone', 'Nicole Taylor Hart']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,13,Who is the child of the performer of song Me And Bobby Mcgee?,2,"[119, 122]","[119, 120, 123, 121, 122]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Janis Joplin', 'Fred Foster', ""Me and Bobby and Bobby's Brother""]",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,14,"Where was the place of death of Maurice, Prince Of Orange's father?",2,"[133, 131]","[133, 1850, 1846, 131, 1848]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Margaretha van Mechelen', 'Louis of Nassau, Lord of De Lek and Beverweerd', 'William of Nassau (1601–1627)']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,15,Which country Aleksander Koniecpolski (1620–1659)'s father is from?,2,"[138, 140]","[138, 140, 143, 4053, 4400]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Aleksander Koniecpolski (1555–1609)', 'Takayama Tomoteru', 'Marek Sobieski']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,16,What is the date of death of the director of film Madame La Presidente?,2,"[148, 147]","[148, 147, 2796, 2160, 867]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Édouard Molinaro', 'Claude Autant-Lara', 'Claude Sautet']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,17,Do both directors of films Wrong Turn 5: Bloodlines and Dark River (2017 Film) have the same nationality?,4,"[150, 153, 157, 151]","[153, 151, 150, 152, 157]",200,1.0,1.0,True,4.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,['Wrong Turn: The Foundation'],True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,18,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?",4,"[162, 166, 165, 160]","[166, 160, 162, 167, 2229]",200,0.0,0.0,True,3.0,candidate200_complete_top5_incomplete,1,[165],['Clarence Brown'],[66],['rank51_100'],66,rank51_100,False,"['The Past of Mary Holmes', 'Helmut Käutner']",False,True,0.75,False,True,0.75,False,True,0.75,False,True,0.75,True,True,1.0,True,True,1.0
2wikimultihopqa,19,Where was the director of film The Private Life Of Cinema born?,2,"[169, 174]","[169, 174, 2464, 2971, 175]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Peter Greenaway', 'Alexander Korda', 'The Private Life of a Modern Woman']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,20,Where did Coulson Wallop's father study?,2,"[183, 188]","[183, 6064, 188, 3065, 1599]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Francis Buxton', ""George Stewart, 9th Seigneur d'Aubigny"", 'Edward Wingfield, 2nd Viscount Powerscourt']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,21,Why did John Middleton Murry's wife die?,2,"[198, 192]","[191, 192, 198, 190, 3624]",200,0.0,0.6667,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Anne Estelle Rice', 'John Middleton Murry Jr.', 'Eddie Murray (rugby league)']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,22,Where was the composer of film Billy Elliot born?,2,"[202, 203]","[199, 200, 202, 201, 203]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Billy Elliot the Musical Live', 'Corey Snide', 'Lee Hall (playwright)']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
