dataset,question,query_type,oracle_label,selected_by_dryrun,selected_by_judge,dep_triggered,query_dependency_mode,candidate_pool_position,replace_pool_position,candidate_title,replace_incumbent_title,score_delta,oracle_delta_em,oracle_delta_f1,candidate_top_psi_flat,candidate_top_psi_dep,incumbent_top_psi_flat,incumbent_top_psi_dep,G_flat_before_top2,G_flat_after_top2,delta_flat_top2,G_dep_before_top2,G_dep_after_top2,delta_dep_top2,delta_flat_max,delta_flat_full,delta_dep_max,delta_dep_full
2wikimultihopqa,When did Lothair Ii's mother die?,standard,negative,False,False,True,dependency,72,2,Charlemagne,Teutberga,-2.4326,0.0,0.0,0.1103,0.0215,0.3757,0.5041,2.5451,2.4625,-0.0826,2.4187,2.3745,-0.0442,0.0,-0.0962,0.0,-0.0941
2wikimultihopqa,When did Lothair Ii's mother die?,standard,negative,False,False,True,dependency,72,6,Charlemagne,Louis the Pious,-2.1172,0.0,0.0,0.1103,0.0215,0.0291,0.0348,2.5451,2.5451,0.0,2.4187,2.4187,0.0,0.0,0.0146,0.0,-0.0042
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,True,dependency,67,4,Har Dil Jo Pyar Karega,Phalitamsha,1.6055,1.0,1.0,0.0006,0.0051,0.0004,0.0147,3.0,3.0,0.0,2.9992,2.9992,0.0,0.0,0.0,0.0,-0.0
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,True,dependency,67,7,Har Dil Jo Pyar Karega,Chaowa Pawa (2009 film),1.7774,1.0,1.0,0.0006,0.0051,0.0002,0.0015,3.0,3.0,0.0,2.9992,2.9992,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,True,dependency,35,4,Rani Mukerji,Phalitamsha,3.5703,1.0,1.0,0.0015,0.0059,0.0004,0.0147,3.0,3.0,0.0,2.9992,2.9992,0.0,0.0,0.0,0.0,-0.0
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,True,False,True,dependency,35,7,Rani Mukerji,Chaowa Pawa (2009 film),3.7422,1.0,1.0,0.0015,0.0059,0.0002,0.0015,3.0,3.0,0.0,2.9992,2.9992,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,True,dependency,26,4,Goopy Gyne Bagha Byne,Phalitamsha,0.9609,1.0,1.0,0.0005,0.0075,0.0004,0.0147,3.0,3.0,0.0,2.9992,2.9992,0.0,0.0,0.0,0.0,-0.0
2wikimultihopqa,"Which film was released first, Aas Ka Panchhi or Phoolwari?",standard,positive,False,False,True,dependency,26,7,Goopy Gyne Bagha Byne,Chaowa Pawa (2009 film),1.1328,1.0,1.0,0.0005,0.0075,0.0002,0.0015,3.0,3.0,0.0,2.9992,2.9992,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,What is the place of birth of the performer of song Changed It?,standard,positive,False,False,False,flat_fallback,81,4,...Baby One More Time (album),2 Chainz,-3.6738,0.0,0.5455,0.003,0.003,0.1351,0.1351,1.9983,1.9983,0.0,1.9983,1.9983,0.0,0.0,-0.0001,0.0,-0.0001
2wikimultihopqa,What is the place of birth of the performer of song Changed It?,standard,positive,False,False,False,flat_fallback,81,5,...Baby One More Time (album),Alex da Kid,-3.4902,0.0,0.5455,0.003,0.003,0.0831,0.0831,1.9983,1.9983,0.0,1.9983,1.9983,0.0,0.0,-0.0001,0.0,-0.0001
