dataset,query_index,split,strong_label,daec_f1,nobind_f1,daec_em,nobind_em,delta_f1_daec_minus_nobind,delta_em_daec_minus_nobind,alias_match_rate,avg_candidate_title_occurrences,bind_conf_candidate_coverage,bind_conf_candidate_simplicity,bind_conf_composite_primary,bind_conf_composite_with_margin_diagnostic,bind_conf_margin_diagnostic,bind_conf_match_quality,bind_conf_single_candidate_rate,bind_conf_title_unique,binding_count,binding_count_unpruned,candidate_count_max,candidate_count_mean,candidate_count_total,candidate_coverage,candidate_req_count,dep_margin_mean_diagnostic,dep_margin_min_diagnostic,dep_score_top1_mean_diagnostic,dependent_req_count,duplicate_entity_count,empty_entity_responses,empty_response_rate,exactish_match_rate,extraction_count,low_ambiguity,match_rate,matched_entity_count,max_dependency_depth,multi_candidate_rate,multi_candidate_req_count,raw_entity_count,requirement_count,single_candidate_rate,single_candidate_req_count,skipped_anchor_count,title_nonunique_rate,title_unique_rate,unmatched_entity_count,unmatched_rate,question
2Wiki,0,dev,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,When did Lothair Ii's mother die?
2Wiki,1,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.6,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,"Which film was released first, Aas Ka Panchhi or Phoolwari?"
2Wiki,2,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.5,0.54,0.43200000000000005,0.0,0.19999999999999998,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.799887,1.0,0.0,3.0,0.6,1.0,5.0,0.5,0.2,2.0,1.0,1.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.8,What is the place of birth of the performer of song Changed It?
2Wiki,3,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.7,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,Are Marufabad and Nasamkhrali both located in the same country?
2Wiki,4,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.5,0.7333333333333334,0.7251127666666668,0.6922305,0.6666666666666667,0.5,1.0,2.0,2.0,2.0,1.5,3.0,1.0,2.0,0.6922305,0.38446100000000005,0.8155645,2.0,1.0,6.0,0.6,1.0,10.0,0.5,0.5,3.0,1.0,0.5,1.0,6.0,4.0,0.5,1.0,1.0,0.0,1.0,1.0,0.16666666666666666,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?"
2Wiki,5,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.5,0.8,0.7794405000000001,0.6972025,1.0,0.5,1.0,2.0,2.0,2.0,1.5,3.0,1.0,2.0,0.6972025,0.394405,1.0,2.0,0.0,7.0,0.7,1.0,10.0,0.5,1.0,3.0,1.0,0.5,1.0,3.0,4.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,"Which film whose director was born first, El Tonto or The Heart Of Doreon?"
2Wiki,6,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.8,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Who was born first out of Aivar Kuusmaa and Andy Summers?
2Wiki,7,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.25,0.65,0.6208006,0.504003,0.5,0.5,1.0,4.0,4.0,4.0,2.5,5.0,1.0,2.0,0.504003,0.008005999999999958,1.0,2.0,1.0,3.0,0.3,1.0,10.0,0.25,0.45454545454545453,5.0,2.0,0.5,1.0,11.0,3.0,0.5,1.0,0.0,0.0,1.0,5.0,0.45454545454545453,Who is Raghnall Mac Ruaidhrí's paternal grandfather?
2Wiki,8,dev,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.925,0.9400000000000002,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,0.6,1.0,10.0,1.0,0.5,2.0,1.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,0.25,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?
2Wiki,9,dev,ignore,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,What nationality is the director of film Blood Street?
