dataset,query_index,question,gold_doc_count,gold_titles_json,setr_selected_count,count_under_selected,dbec_selected_count,setr_support_hit_count,dbec_support_hit_count,setr_support_missing_count,dbec_support_missing_count,setr_support_recall,dbec_support_recall,delta_support_recall_dbec_minus_setr,setr_support_complete,dbec_support_complete,support_transition,support_delta_label,dbec_recovered_missing_count,dbec_recovered_any_missing,dbec_recovered_all_missing,recovery_label,setr_missing_titles_json,dbec_missing_titles_json,dbec_recovered_titles_json,setr_titles_json,dbec_titles_json,setr_em,setr_f1,dbec_em,dbec_f1,delta_em_dbec_minus_setr,delta_f1_dbec_minus_setr,requirement_count,dependent_req_count,selective_binding_decision
2Wiki,0,When did Lothair Ii's mother die?,2,"[""Ermengarde of Tours"", ""Lothair II""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Ermengarde of Tours"", ""Lothair II""]","[""Ermengarde of Tours"", ""Lothair II"", ""Teutberga"", ""Bertha, daughter of Lothair II"", ""Waldrada of Lotharingia""]",1.0,1.0,1.0,1.0,0.0,0.0,2,1,bind
2Wiki,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",2,"[""Phoolwari"", ""Aas Ka Panchhi""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Aas Ka Panchhi"", ""Phoolwari""]","[""Aas Ka Panchhi"", ""Phoolwari"", ""John Jaffer Janardhanan"", ""Kishore Sahu"", ""Aansoo Ban Gaye Phool""]",1.0,1.0,1.0,1.0,0.0,0.0,3,1,abstain
2Wiki,2,What is the place of birth of the performer of song Changed It?,2,"[""Nicki Minaj"", ""Changed It""]",2,0,5,1,1,1,1,0.5,0.5,0.0,0,0,SetR incomplete -> DBEC incomplete,support coverage tied,0,0,0,dbec_recovers_none,"[""Nicki Minaj""]","[""Nicki Minaj""]",[],"[""Changed It"", ""Chris Brown""]","[""Chris Brown"", ""Changed It"", ""Carly Rae Jepsen"", ""Did It On'em"", ""Andrew Allen (singer)""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,3,Are Marufabad and Nasamkhrali both located in the same country?,2,"[""Marufabad"", ""Nasamkhrali""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Nasamkhrali"", ""Marufabad""]","[""Abdul-Vahed Niyazov"", ""Nasamkhrali"", ""Marufabad"", ""Where Are You"", ""Ampelakia, Evros""]",1.0,1.0,1.0,1.0,0.0,0.0,3,1,abstain
2Wiki,4,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",4,"[""Aldri annet enn bråk"", ""God's Gift to Women"", ""Michael Curtiz"", ""Edith Carlmar""]",3,1,5,2,3,2,1,0.5,0.75,0.25,0,0,SetR incomplete -> DBEC incomplete,DBEC improves support coverage,1,1,0,dbec_recovers_some_missing,"[""Aldri annet enn bråk"", ""Michael Curtiz""]","[""Michael Curtiz""]","[""Aldri annet enn bråk""]","[""Edith Carlmar"", ""God's Gift to Women"", ""Altid ballade""]","[""Arne Toonen"", ""Edith Carlmar"", ""God's Gift to Women"", ""Aldri annet enn bråk"", ""Altid ballade""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
2Wiki,5,"Which film whose director was born first, El Tonto or The Heart Of Doreon?",4,"[""Charlie Day"", ""El Tonto"", ""The Heart of Doreon"", ""Robert North Bradbury""]",4,0,5,4,3,0,1,1.0,0.75,-0.25,1,0,SetR complete -> DBEC incomplete,DBEC loses support coverage,0,0,0,setr_no_missing_support,[],"[""Charlie Day""]",[],"[""The Heart of Doreon"", ""El Tonto"", ""Robert North Bradbury"", ""Charlie Day""]","[""Fernando Cortés"", ""El Tonto"", ""Robert North Bradbury"", ""The Heart of Doreon"", ""Toto and Cleopatra""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
2Wiki,6,Who was born first out of Aivar Kuusmaa and Andy Summers?,2,"[""Aivar Kuusmaa"", ""Andy Summers""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Andy Summers"", ""Aivar Kuusmaa""]","[""When I Was Young"", ""Andy Summers"", ""Aivar Kuusmaa"", ""Dugès"", ""Jonny Greenwood""]",1.0,1.0,1.0,1.0,0.0,0.0,3,1,abstain
2Wiki,7,Who is Raghnall Mac Ruaidhrí's paternal grandfather?,2,"[""Ruaidhrí Mac Ruaidhrí"", ""Raghnall Mac Ruaidhrí""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Raghnall Mac Ruaidhrí"", ""Ruaidhrí Mac Ruaidhrí""]","[""Ruaidhrí Mac Ruaidhrí"", ""Lars Eliasson"", ""Raghnall Mac Ruaidhrí"", ""Dáire Drechlethan"", ""Takayama Tomoteru""]",1.0,1.0,1.0,1.0,0.0,0.0,3,2,bind
2Wiki,8,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,4,"[""Interview with a Hitman"", ""The Last Coupon"", ""Frank Launder"", ""Perry Bhandal""]",3,1,5,3,4,1,0,0.75,1.0,0.25,0,1,SetR incomplete -> DBEC complete,DBEC improves support coverage,1,1,1,dbec_recovers_all_missing,"[""Frank Launder""]",[],"[""Frank Launder""]","[""The Last Coupon"", ""Interview with a Hitman"", ""Perry Bhandal""]","[""Perry Bhandal"", ""Frank Launder"", ""The Last Coupon"", ""Interview with a Hitman"", ""Spring Handicap""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
2Wiki,9,What nationality is the director of film Blood Street?,2,"[""Leo Fong"", ""Blood Street""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Blood Street"", ""Leo Fong""]","[""Leo Fong"", ""Blood Street"", ""Lasse Hallström"", ""Tiger Cage (film)"", ""Wisit Sasanatieng""]",0.0,0.6666666666666666,0.0,0.6667,0.0,3.333333333332966e-05,2,1,bind
