query_index,question,missing_doc_id,missing_title,rank_pool100,rank_candidate200,rank_bucket,in_pool100,in_candidate200,state_bindable_proxy,positive_rebuild_signal,positive_swap_signal,positive_dbec_signal,binding_candidate_doc,binding_candidate_title,selected_binding_title,stable_f1,stable_em,etv3_f1,etv3_em,selected_non_gold_titles,selected_binding_titles,binding_wrong_branch_proxy,near_title_substitution_proxy
5,When was the region immediately north of the region where Israel is located and the location of the Battle of Qurah and Umm al Maradim created?,102,History of Saudi Arabia,,,missing,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Israel || History of Israel,Battle of Qurah and Umm al Maradim,False,False
5,When was the region immediately north of the region where Israel is located and the location of the Battle of Qurah and Umm al Maradim created?,112,Geography of Saudi Arabia,24,24,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Israel || History of Israel,Battle of Qurah and Umm al Maradim,False,False
6,Where does the body of water by the city where the Southeast Library designer died empty into the Gulf of Mexico?,119,Riverside Plaza,2,34,top5,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,The Hague City Hall || Colorado River (Texas) || Gulf of Mexico || Stockholm Public Library,The Hague City Hall,True,False
6,Where does the body of water by the city where the Southeast Library designer died empty into the Gulf of Mexico?,120,Mississippi River,22,21,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,The Hague City Hall || Colorado River (Texas) || Gulf of Mexico || Stockholm Public Library,The Hague City Hall,True,False
6,Where does the body of water by the city where the Southeast Library designer died empty into the Gulf of Mexico?,124,Minneapolis,,128,101-200,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,The Hague City Hall || Colorado River (Texas) || Gulf of Mexico || Stockholm Public Library,The Hague City Hall,True,False
7,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,146,Sony Music,15,14,11-100,True,True,True,False,False,False,True,True,True,0.0,0.0,0.0,0.0,American Idol || Prysmian Group || Francisco de Orellana || Biltmore Records,American Idol || Prysmian Group || Jive Records || Sony Music,True,False
7,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,148,The Right Stuff Records,,,missing,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,American Idol || Prysmian Group || Francisco de Orellana || Biltmore Records,American Idol || Prysmian Group || Jive Records || Sony Music,True,False
7,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,158,"Santa Monica, California",,,missing,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,American Idol || Prysmian Group || Francisco de Orellana || Biltmore Records,American Idol || Prysmian Group || Jive Records || Sony Music,True,False
11,How were the people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the country between Thailand and A Lim's country?,225,Myanmar,,115,101-200,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Somalis,,False,False
11,How were the people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the country between Thailand and A Lim's country?,235,Geography of Myanmar,,134,101-200,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Somalis,,False,False
