dataset,query_idx,question,gold_doc_count,gold_titles,baseline_top_titles,selector_top_titles,changed,baseline_em,selector_em,em_delta,baseline_f1,selector_f1,f1_delta,baseline_title_recall_top5,selector_title_recall_top5,baseline_title_all_gold_top5,selector_title_all_gold_top5,pool_title_all_gold_top100,max_gold_title_rank_bucket_pool100,gold_title_ranks_pool100,swap_count,swapped_in_gold_title_count,swapped_out_gold_title_count,baseline_title_duplicate_count,selector_title_duplicate_count
2wikimultihopqa,0,When did Lothair Ii's mother die?,2,Ermengarde of Tours || Lothair II,"Teutberga || Bertha, daughter of Lothair II || Lothair II || Waldrada of Lotharingia || Ermengarde of Tours","Teutberga || Bertha, daughter of Lothair II || Lothair II || Waldrada of Lotharingia || Ermengarde of Tours",False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"5,3",0,0,0,0,0
2wikimultihopqa,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",2,Aas Ka Panchhi || Phoolwari,Aas Ka Panchhi || Phoolwari || Aansoo Ban Gaye Phool || Kishore Sahu || Dasari Narayana Rao,Aas Ka Panchhi || Phoolwari || Aansoo Ban Gaye Phool || Kishore Sahu || Dasari Narayana Rao,False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"1,2",0,0,0,0,0
2wikimultihopqa,2,What is the place of birth of the performer of song Changed It?,2,Changed It || Nicki Minaj,Changed It || Nicki Minaj || You Changed Me || Zhang Ye (singer) || Suzanitta,Changed It || Nicki Minaj || You Changed Me || Zhang Ye (singer) || Suzanitta,False,0.0,0.0,0.0,0.75,0.75,0.0,1.0,1.0,True,True,True,top5,"1,2",0,0,0,0,0
2wikimultihopqa,3,Are Marufabad and Nasamkhrali both located in the same country?,2,Marufabad || Nasamkhrali,Marufabad || Ismail I || Nasamkhrali || Marzuban ibn Bakhtiyar || Qaleh-ye Nashin Shahi,Marufabad || Abdul-Vahed Niyazov || Nasamkhrali || Marzuban ibn Bakhtiyar || Qaleh-ye Nashin Shahi,True,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"1,3",1,0,0,0,0
2wikimultihopqa,4,"Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?",4,Edith Carlmar || Michael Curtiz || Aldri annet enn bråk || God's Gift to Women,God's Gift to Women || Michael Curtiz || Aldri annet enn bråk || Edith Carlmar || Lina Wertmüller,God's Gift to Women || Michael Curtiz || Aldri annet enn bråk || Edith Carlmar || Lina Wertmüller,False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"4,2,3,1",0,0,0,0,0
2wikimultihopqa,5,"Which film whose director was born first, El Tonto or The Heart Of Doreon?",4,Robert North Bradbury || The Heart of Doreon || El Tonto || Charlie Day,El Tonto || Charlie Day || The Heart of Doreon || Heart (1987 film) || Juan Bustillo Oro,El Tonto || John Francis Dillon (director) || The Heart of Doreon || Fernando Cortés || Juan Bustillo Oro,True,1.0,1.0,0.0,1.0,1.0,0.0,0.75,0.5,False,False,True,rank21_50,"22,3,1,2",2,0,1,0,0
2wikimultihopqa,6,Who was born first out of Aivar Kuusmaa and Andy Summers?,2,Aivar Kuusmaa || Andy Summers,Aivar Kuusmaa || Eric XIV of Sweden || Andy Summers || Jonny Greenwood || Keith Emerson,Aivar Kuusmaa || Jeff Barlow || Andy Summers || Jonny Greenwood || Keith Emerson,True,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"1,3",1,0,0,0,0
2wikimultihopqa,7,Who is Raghnall Mac Ruaidhrí's paternal grandfather?,2,Ruaidhrí Mac Ruaidhrí || Raghnall Mac Ruaidhrí,Raghnall Mac Ruaidhrí || Ruaidhrí Mac Ruaidhrí || Dáire Drechlethan || Comgall mac Domangairt || Tnúthgal mac Donngaile,Raghnall Mac Ruaidhrí || Ruaidhrí Mac Ruaidhrí || John Templeton (botanist) || Comgall mac Domangairt || Tnúthgal mac Donngaile,True,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"2,1",1,0,0,0,0
2wikimultihopqa,8,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,4,The Last Coupon || Interview with a Hitman || Frank Launder || Perry Bhandal,Interview with a Hitman || The Last Coupon || Perry Bhandal || The Umbrella Coup || Spring Handicap,Interview with a Hitman || The Last Coupon || Perry Bhandal || Frank Launder || Spring Handicap,True,1.0,1.0,0.0,1.0,1.0,0.0,0.75,1.0,False,True,True,rank21_50,"2,1,22,3",1,1,0,0,0
2wikimultihopqa,9,What nationality is the director of film Blood Street?,2,Leo Fong || Blood Street,Blood Street || Leo Fong || Jackie Kong || Rod Hardy || Mikael Håfström,Blood Street || Leo Fong || Jackie Kong || Rod Hardy || Mikael Håfström,False,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,1.0,True,True,True,top5,"2,1",0,0,0,0,0
2wikimultihopqa,10,What is the place of birth of the director of film Gaby: A True Story?,2,Gaby: A True Story || Luis Mandoki,Gaby: A True Story || Luis Mandoki || Rod Hardy || Bertrand Tavernier || Claude Weisz,Gaby: A True Story || Luis Mandoki || Rod Hardy || Bertrand Tavernier || Claude Weisz,False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"1,2",0,0,0,0,0
2wikimultihopqa,11,Are Vasilyevsky Island and Preobrazheniya Island located in the same country?,2,Vasilyevsky Island || Preobrazheniya Island,Preobrazheniya Island || Vasilyevsky Island || Abdul-Vahed Niyazov || Runmarö || Jeløya,Preobrazheniya Island || Vasilyevsky Island || Abdul-Vahed Niyazov || Runmarö || Jeløya,False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"2,1",0,0,0,0,0
2wikimultihopqa,12,What nationality is the performer of song When The Stars Go Blue?,2,Ryan Adams || When the Stars Go Blue,When the Stars Go Blue || Ryan Adams || Andrea Corr || When Your Love is Gone || Nicole Taylor Hart,When the Stars Go Blue || Ryan Adams || Andrea Corr || When Your Love is Gone || Nicole Taylor Hart,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,top5,"2,1",0,0,0,0,0
2wikimultihopqa,13,Who is the child of the performer of song Me And Bobby Mcgee?,2,Me and Bobby McGee || Roger Miller,Me and Bobby McGee || Janis Joplin || Fred Foster || Me and Bobby and Bobby's Brother || Roger Miller,Me and Bobby McGee || Janis Joplin || Fred Foster || Me and Bobby and Bobby's Brother || Roger Miller,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,top5,"1,5",0,0,0,0,0
2wikimultihopqa,14,"Where was the place of death of Maurice, Prince Of Orange's father?",2,"William the Silent || Maurice, Prince of Orange","Maurice, Prince of Orange || Margaretha van Mechelen || Louis of Nassau, Lord of De Lek and Beverweerd || William the Silent || William of Nassau (1601–1627)","Maurice, Prince of Orange || Margaretha van Mechelen || Louis of Nassau, Lord of De Lek and Beverweerd || William the Silent || William of Nassau (1601–1627)",False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"4,1",0,0,0,0,0
2wikimultihopqa,15,Which country Aleksander Koniecpolski (1620–1659)'s father is from?,2,Stanisław Koniecpolski || Aleksander Koniecpolski (1620–1659),Aleksander Koniecpolski (1620–1659) || Stanisław Koniecpolski || Aleksander Koniecpolski (1555–1609) || Takayama Tomoteru || Marek Sobieski,Aleksander Koniecpolski (1620–1659) || Stanisław Koniecpolski || Aleksander Koniecpolski (1555–1609) || Takayama Tomoteru || Marek Sobieski,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,top5,"2,1",0,0,0,0,0
2wikimultihopqa,16,What is the date of death of the director of film Madame La Presidente?,2,Frank Lloyd || Madame la Presidente,Madame la Presidente || Frank Lloyd || Édouard Molinaro || Claude Autant-Lara || Claude Sautet,Madame la Presidente || Frank Lloyd || Édouard Molinaro || Claude Autant-Lara || Claude Sautet,False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"2,1",0,0,0,0,0
2wikimultihopqa,17,Do both directors of films Wrong Turn 5: Bloodlines and Dark River (2017 Film) have the same nationality?,4,Declan O'Brien || Wrong Turn 5: Bloodlines || Dark River (2017 film) || Clio Barnard,Dark River (2017 film) || Clio Barnard || Wrong Turn 5: Bloodlines || Wrong Turn: The Foundation || Declan O'Brien,Dark River (2017 film) || Clio Barnard || Wrong Turn 5: Bloodlines || Wrong Turn: The Foundation || Declan O'Brien,False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True,True,True,top5,"5,3,1,2",0,0,0,0,0
2wikimultihopqa,18,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?",4,Robert A. Stemmle || You Can No Longer Remain Silent || Clarence Brown || The Goose Woman,You Can No Longer Remain Silent || Robert A. Stemmle || The Goose Woman || The Past of Mary Holmes || Helmut Käutner,You Can No Longer Remain Silent || Robert A. Stemmle || The Goose Woman || Clarence Brown || Helmut Käutner,True,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,False,True,True,rank51_100,"2,1,66,3",1,1,0,0,0
