pilot_slice,policy,dataset,base_dataset,query_index,question,gold_title,source_has_gold,source_best_gold_rank,expanded_best_gold_rank,rank_improvement_vs_source,expanded_hit_at_5,expanded_hit_at_10,expanded_hit_at_20,expanded_hit_at_50,expanded_hit_at_100,final_new_at_5,pool_absent_recovered_at_100,retrieval_calls,slot_count,resolved_slot_count,slot_coverage,expanded_top5_titles_json
source_pool_absent,fixed_pool_top100,MuSiQue,musique,7,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,"Santa Monica, California",0,,,,0,0,0,0,0,0,0,0,3,0,0.0,"[""Jamnagar district"", ""Richmond, Virginia"", ""Biltmore Records"", ""Vilaiyaadu Mankatha"", ""Kathmandu""]"
source_pool_absent,rank_expansion,MuSiQue,musique,7,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,"Santa Monica, California",0,,94,,0,0,0,0,1,0,1,1,0,0,,"[""Vilaiyaadu Mankatha"", ""MCA Records"", ""Sony Music"", ""Equity Music Group"", ""50 home run club""]"
source_pool_absent,independent_demand,MuSiQue,musique,7,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,"Santa Monica, California",0,,28,,0,0,0,1,1,0,1,3,3,3,1.0,"[""Vilaiyaadu Mankatha"", ""Mile run world record progression"", ""MCA Records"", ""Sony Music"", ""Sony Music""]"
source_pool_absent,context_iterative_lite,MuSiQue,musique,7,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,"Santa Monica, California",0,,,,0,0,0,0,0,0,0,4,0,0,,"[""Vilaiyaadu Mankatha"", ""MCA Records"", ""Sony Music"", ""Equity Music Group"", ""50 home run club""]"
source_pool_absent,dbir_det,MuSiQue,musique,7,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,"Santa Monica, California",0,,,,0,0,0,0,0,0,0,3,3,3,1.0,"[""Vilaiyaadu Mankatha"", ""Mile run world record progression"", ""MCA Records"", ""Sony Music"", ""Sony Music""]"
source_pool_absent,fixed_pool_top100,MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Flyin' the Koop,0,,,,0,0,0,0,0,0,0,0,3,0,0.0,"[""Battle of Korytsa"", ""Philip III of Spain"", ""Charles Russell Lowell"", ""Battle of the Border"", ""William Shakespeare""]"
source_pool_absent,rank_expansion,MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Flyin' the Koop,0,,,,0,0,0,0,0,0,0,1,0,0,,"[""Second Battle of Donetsk Airport"", ""Battle of Preveza"", ""Battle of Abbeville"", ""Battle of Sempach"", ""Modern history""]"
source_pool_absent,independent_demand,MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Flyin' the Koop,0,,,,0,0,0,0,0,0,0,3,3,3,1.0,"[""Back to the Future Part III"", ""III (Stanton Moore album)"", ""Philip III of Spain"", ""Robert Munford III"", ""James III of Cyprus""]"
source_pool_absent,context_iterative_lite,MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Flyin' the Koop,0,,,,0,0,0,0,0,0,0,4,0,0,,"[""Second Battle of Donetsk Airport"", ""Battle of Preveza"", ""Battle of Abbeville"", ""Battle of Sempach"", ""Modern history""]"
source_pool_absent,dbir_det,MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Flyin' the Koop,0,,,,0,0,0,0,0,0,0,3,3,3,1.0,"[""Back to the Future Part III"", ""III (Stanton Moore album)"", ""Philip III of Spain"", ""Robert Munford III"", ""James III of Cyprus""]"
