policy,dataset,base_dataset,query_index,question,gold_title,source_best_gold_rank,best_probe_rank,rank_improvement,baseline_hit_at_3,baseline_hit_at_5,baseline_hit_at_10,baseline_hit_at_20,probe_hit_at_3,probe_hit_at_5,probe_hit_at_10,probe_hit_at_20,new_hit_at_3,new_hit_at_5,new_hit_at_10,new_hit_at_20,best_probe_score,best_probe_entity,best_probe_reason,best_requirement_id,best_requirement_subquery,best_upstream_position,best_upstream_title,best_support_span
current_all,MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,18,32,-14,0,0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,28,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,Imperialism,7,5,2,0,0,1,1,0,0,1,1,0,0,0,0,55.0,USSR,body_substring,s2,Who is the arguer that the country referred to in Directive 10/2 called for actions against?,0,Central Intelligence Agency,Directive 10/2 calling for covert action against the USSR
current_all,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,New York Yankees,51,25,26,0,0,0,0,0,0,0,0,0,0,0,0,55.0,Major League Baseball,body_substring,s2,Who was the second pick in the 1999 draft of that league?,1,Hart Memorial Trophy,"He has been named MVP more times than any other player in the history of the other three North American major professional leagues (Major League Baseball (MLB), National Basketball Association, and National Football League)."
current_all,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,World Series,58,74,-16,0,0,0,0,0,0,0,0,0,0,0,0,6.0,Major League Baseball,body_token_overlap,s2,Who was the second pick in the 1999 draft of that league?,1,Hart Memorial Trophy,"He has been named MVP more times than any other player in the history of the other three North American major professional leagues (Major League Baseball (MLB), National Basketball Association, and National Football League)."
current_all,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Geography of Saudi Arabia,27,36,-9,0,0,0,0,0,0,0,0,0,0,0,0,55.0,Persian Gulf,body_substring,s3,When was the region identified in s1 established?,0,Water resources,The most extensive use is in the Persian Gulf.
current_all,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Saudi Arabia,75,20,55,0,0,0,0,0,0,0,0,0,0,0,0,85.0,Kingdom of Saudi Arabia,title_substring,s4,When was the region identified in s2 established?,78,History of Saudi Arabia,"the Al Saud leader, Abdulaziz, carried out a series of wars of conquest which resulted in his establishing the Kingdom of Saudi Arabia in 1930."
current_all,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Reformation,5,5,0,0,0,1,1,0,0,1,1,0,0,0,0,55.0,Martin Luther,body_substring,s2,Which district did that person preach a sermon on Marian devotion before his death?,1,"Mary, mother of Jesus",Despite Martin Luther's harsh polemics against his Roman Catholic opponents over issues concerning Mary and the saints...
current_all,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Wittenberg (district),27,34,-7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,"Tucson, Arizona",94,58,36,0,0,0,0,0,0,0,0,0,0,0,0,9.0,Oklahoma City,body_token_overlap,s2,Which state is the performer of Mingus Plays Piano from?,53,Oklahoma City,Oklahoma City is the principal city of the eight-county Oklahoma City Metropolitan Statistical Area in Central Oklahoma and is the state's largest urbanized area.
current_all,MuSiQue,musique,74,What is the direction of flow of the body of water by the city where Write This Down was formed?,Mississippi River,50,5,45,0,0,0,0,0,0,1,1,0,0,1,1,9.0,"Minneapolis, Minnesota",body_token_overlap,s2,What is the direction of flow of the body of water by that city?,0,Write This Down (band),"Write This Down is an American Christian rock band from Minneapolis, Minnesota."
current_all,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1952 Winter Olympics,81,87,-6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,The Messenger (Zusak novel),15,15,0,0,0,0,1,0,0,0,1,0,0,0,0,55.0,Markus Zusak,body_substring,s2,Which country is the writer of The Book Thief a citizen of?,0,The Book Thief (film),The film is based on the 2005 novel The Book Thief by Markus Zusak
current_all,MuSiQue,musique,90,Where is the headquarters of Radio Television of this country that has a co-official language that is the same as the language of Olivera Markovic?,Media in Pristina,28,38,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,91,What county has a city that is adjacent to the capital city of Erskine College's state?,"Charleston, South Carolina",10,4,6,0,0,0,1,0,1,1,1,0,1,1,0,85.0,South Carolina,title_substring,s2,What is the capital city of that state?,0,Erskine College,"Erskine College is a private Christian college in Due West, South Carolina, United States."
current_all,MuSiQue,musique,91,What county has a city that is adjacent to the capital city of Erskine College's state?,WWNQ,26,20,6,0,0,0,0,0,0,0,0,0,0,0,0,55.0,South Carolina,body_substring,s2,What is the capital city of that state?,0,Erskine College,"Erskine College is a private Christian college in Due West, South Carolina, United States."
current_all,MuSiQue,musique,117,Who's the son of the Italian navigator who explored the eastern coast of the continent Manuel Balbi was born in?,Paula Santiago,15,28,-13,0,0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,118,What is the deepest part of the ocean by the state where Main Street Station is located?,"Newport News, Virginia",96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,213,When did the place where the author of Princeps Pastorum died become its own country?,Canonization of Pope John XXIII and Pope John Paul II,14,5,9,0,0,0,1,0,0,1,1,0,0,1,0,85.0,Pope John XXIII,title_substring,s2,Where did the author of Princeps Pastorum die?,0,Princeps pastorum,promulgated by Pope John XXIII on 28 November 1959
current_all,MuSiQue,musique,213,When did the place where the author of Princeps Pastorum died become its own country?,Vatican City,20,47,-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,228,What is the longest home run in the history of the league that Jim Wilson's team is a part of?,Cleveland Indians,23,24,-1,0,0,0,0,0,0,0,0,0,0,0,0,55.0,Major League Baseball,body_substring,s2,What is the longest home run in the history of that team's league?,0,Home run,"Major League Baseball's longest verifiable home run distance is about 575 feet (175 m), by Babe Ruth, to straightaway center fie"
current_all,MuSiQue,musique,237,Who was in charge in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?,2020 AFC U-23 Championship qualification,71,90,-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,237,Who was in charge in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?,Geography of Myanmar,29,67,-38,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
