dataset,base_dataset,query_index,question,gold_title,source_best_gold_rank,best_probe_rank,rank_improvement,baseline_hit_at_3,baseline_hit_at_5,baseline_hit_at_10,baseline_hit_at_20,probe_hit_at_3,probe_hit_at_5,probe_hit_at_10,probe_hit_at_20,new_hit_at_3,new_hit_at_5,new_hit_at_10,new_hit_at_20,best_probe_score,best_probe_entity,best_probe_reason,best_requirement_id,best_requirement_subquery,best_upstream_position,best_upstream_title,best_support_span,failure_reason,entity_outputs_json
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,18,32,-14,0,0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,-1,,,no_positive_score_for_gold,"[{""query_index"": 24, ""entity"": ""Guadalajara, Jalisco, Mexico"", ""support_span"": ""César Gaytan (born July 15, 1993 in Guadalajara, Jalisco, Mexico)"", ""why"": ""The upstream document explicitly states that César Gaytan was born in Guadalajara, Jalisco, Mexico, which is the birthplace required for the dependent demand."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which Italian navigator explored the eastern coast of that continent?"", ""upstream_position"": 0, ""upstream_title"": ""César Gaytan""}, {""query_index"": 24, ""entity"": ""John Cabot"", ""support_span"": ""He was the son of Italian explorer John Cabot (Giovanni Caboto) and his Venetian wife Mattea."", ""why"": ""The upstream document explicitly states that Sebastian Cabot was the son of John Cabot, making him the Italian navigator in question."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which Italian navigator explored the eastern coast of that continent?"", ""upstream_position"": 1, ""upstream_title"": ""Sebastian Cabot (explorer)""}, {""query_index"": 24, ""entity"": ""John Cabot"", ""support_span"": ""John Cabot (Italian: Giovanni Caboto; c. 1450 -- c. 1500) was a Venetian navigator and explorer whose 1497 discovery of the coast of North America under the commission of Henry VII of England was the first European exploration of coastal North America since the Norse visits to Vinland in the eleventh century."", ""why"": ""The upstream document directly mentions John Cabot as the Italian navigator who explored the eastern coast of North America, which is the continent César Gaytan was born in."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which Italian navigator explored the eastern coast of that continent?"", ""upstream_position"": 9, ""upstream_title"": ""John Cabot""}, {""query_index"": 24, ""entity"": ""John Cabot"", ""support_span"": ""John Cabot (Italian: Giovanni Caboto; c. 1450 -- c. 1500) was a Venetian navigator and explorer whose 1497 discovery of the coast of North America under the commission of Henry VII of England was the first European exploration of coastal North America since the Norse visits to Vinland in the eleventh century."", ""why"": ""The upstream document explicitly mentions John Cabot as the Italian navigator who explored the eastern coast of North America, which is the continent César Gaytan was born in as implied by the original question."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""Who is the child of that Italian navigator?"", ""upstream_position"": 9, ""upstream_title"": ""John Cabot""}, {""query_index"": 24, ""entity"": ""John Cabot"", ""support_span"": ""He was the son of Italian explorer John Cabot (Giovanni Caboto) and his Venetian wife Mattea."", ""why"": ""The upstream document explicitly states that Sebastian Cabot was the son of John Cabot, making him the direct parent of the child in the dependent demand."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""Who is the child of that Italian navigator?"", ""upstream_position"": 1, ""upstream_title"": ""Sebastian Cabot (explorer)""}, {""query_index"": 24, ""entity"": ""César Gaytan"", ""support_span"": ""César Gaytan (born July 15, 1993 in Guadalajara, Jalisco, Mexico) is an undefeated Mexican professional boxer in the Bantamweight division."", ""why"": ""The upstream document explicitly mentions César Gaytan, who is the subject of the original question."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""Who is the child of that Italian navigator?"", ""upstream_position"": 0, ""upstream_title"": ""César Gaytan""}]"
MuSiQue,musique,28,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,Imperialism,7,5,2,0,0,1,1,0,0,1,1,0,0,0,0,55.0,USSR,body_substring,s2,Who is the arguer that the country referred to in Directive 10/2 called for actions against?,0,Central Intelligence Agency,Directive 10/2 calling for covert action against the USSR,top10_not_top5,"[{""query_index"": 28, ""entity"": ""USSR"", ""support_span"": ""Directive 10/2 calling for covert action against the USSR"", ""why"": ""The upstream document explicitly mentions the USSR as the target of Directive 10/2."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Who is the arguer that the country referred to in Directive 10/2 called for actions against?"", ""upstream_position"": 0, ""upstream_title"": ""Central Intelligence Agency""}, {""query_index"": 28, ""entity"": ""Yugoslavia"", ""support_span"": ""Yugoslavia–a possible Soviet target because of the Tito-Stalin Split—was vital to the defense of Italy and Greece, and the country was first on the list of the National Security Council's post-North Korea invasion list of \""chief danger spots\""."", ""why"": ""The upstream document explicitly mentions Yugoslavia as a possible Soviet target and a country of interest in the context of Directive 10/2, which is related to the Korean War."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Who is the arguer that the country referred to in Directive 10/2 called for actions against?"", ""upstream_position"": 1, ""upstream_title"": ""Korean War""}, {""query_index"": 28, ""entity"": ""Soviet Union"", ""support_span"": ""One of the main targets for intelligence gathering was the Soviet Union, which had also been a priority of the CIA's predecessors."", ""why"": ""The Soviet Union is explicitly mentioned as a target for intelligence gathering, which aligns with the context of Directive 10/2 calling for actions against it."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Who is the arguer that the country referred to in Directive 10/2 called for actions against?"", ""upstream_position"": 2, ""upstream_title"": ""Central Intelligence Agency""}, {""query_index"": 28, ""entity"": ""Frank Wisner"", ""support_span"": ""Frank Wisner, the head of the OPC, answered not to the CIA Director, but to the secretaries of defense, state, and the NSC, and the OPC's actions were a secret even from the head of the CIA."", ""why"": ""Frank Wisner is explicitly mentioned as the head of the OPC, which is directly related to the actions described in Directive 10/2."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""Where did the arguer declare he would intervene in the Korean conflict?"", ""upstream_position"": 0, ""upstream_title"": ""Central Intelligence Agency""}, {""query_index"": 28, ""entity"": ""Yugoslavia"", ""support_span"": ""Yugoslavia–a possible Soviet target because of the Tito-Stalin Split—was vital to the defense of Italy and Greece, and the country was first on the list of the National Security Council's post-North Korea invasion list of \""chief danger spots\""."", ""why"": ""The text explicitly mentions Yugoslavia as a possible Soviet target and links it to the context of the Korean War, making it a relevant retrieval anchor for the dependent demand."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""Where did the arguer declare he would intervene in the Korean conflict?"", ""upstream_position"": 1, ""upstream_title"": ""Korean War""}, {""query_index"": 28, ""entity"": ""Soviet Union"", ""support_span"": ""One of the main targets for intelligence gathering was the Soviet Union, which had also been a priority of the CIA's predecessors."", ""why"": ""The Soviet Union is explicitly mentioned as a target for intelligence gathering, which aligns with the context of Directive 10/2 and the arguer's actions against it."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""Where did the arguer declare he would intervene in the Korean conflict?"", ""upstream_position"": 2, ""upstream_title"": ""Central Intelligence Agency""}]"
MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,New York Yankees,51,25,26,0,0,0,0,0,0,0,0,0,0,0,0,55.0,Major League Baseball,body_substring,s2,Who was the second pick in the 1999 draft of that league?,1,Hart Memorial Trophy,"He has been named MVP more times than any other player in the history of the other three North American major professional leagues (Major League Baseball (MLB), National Basketball Association, and National Football League).",not_top20,"[{""query_index"": 39, ""entity"": ""Major League Baseball draft"", ""support_span"": ""Major League Baseball draft"", ""why"": ""The upstream document title directly refers to the draft in question, which is relevant to the dependent demand about the second pick in the 1999 draft."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Who was the second pick in the 1999 draft of that league?"", ""upstream_position"": 0, ""upstream_title"": ""Major League Baseball draft""}, {""query_index"": 39, ""entity"": ""Major League Baseball"", ""support_span"": ""He has been named MVP more times than any other player in the history of the other three North American major professional leagues (Major League Baseball (MLB), National Basketball Association, and National Football League)."", ""why"": ""The upstream document explicitly mentions Major League Baseball (MLB) as one of the three North American major professional leagues where the MVP award is given out, which directly supports the dependent demand for the league in question."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Who was the second pick in the 1999 draft of that league?"", ""upstream_position"": 1, ""upstream_title"": ""Hart Memorial Trophy""}, {""query_index"": 39, ""entity"": ""Major League Baseball draft"", ""support_span"": ""Major League Baseball draft"", ""why"": ""The upstream document title directly refers to the draft in question, which is relevant to the dependent demand about the second pick in the 1999 draft."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Who was the second pick in the 1999 draft of that league?"", ""upstream_position"": 2, ""upstream_title"": ""Major League Baseball draft""}]"
MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,World Series,58,74,-16,0,0,0,0,0,0,0,0,0,0,0,0,6.0,Major League Baseball,body_token_overlap,s2,Who was the second pick in the 1999 draft of that league?,1,Hart Memorial Trophy,"He has been named MVP more times than any other player in the history of the other three North American major professional leagues (Major League Baseball (MLB), National Basketball Association, and National Football League).",not_top20,"[{""query_index"": 39, ""entity"": ""Major League Baseball draft"", ""support_span"": ""Major League Baseball draft"", ""why"": ""The upstream document title directly refers to the draft in question, which is relevant to the dependent demand about the second pick in the 1999 draft."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Who was the second pick in the 1999 draft of that league?"", ""upstream_position"": 0, ""upstream_title"": ""Major League Baseball draft""}, {""query_index"": 39, ""entity"": ""Major League Baseball"", ""support_span"": ""He has been named MVP more times than any other player in the history of the other three North American major professional leagues (Major League Baseball (MLB), National Basketball Association, and National Football League)."", ""why"": ""The upstream document explicitly mentions Major League Baseball (MLB) as one of the three North American major professional leagues where the MVP award is given out, which directly supports the dependent demand for the league in question."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Who was the second pick in the 1999 draft of that league?"", ""upstream_position"": 1, ""upstream_title"": ""Hart Memorial Trophy""}, {""query_index"": 39, ""entity"": ""Major League Baseball draft"", ""support_span"": ""Major League Baseball draft"", ""why"": ""The upstream document title directly refers to the draft in question, which is relevant to the dependent demand about the second pick in the 1999 draft."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Who was the second pick in the 1999 draft of that league?"", ""upstream_position"": 2, ""upstream_title"": ""Major League Baseball draft""}]"
MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Geography of Saudi Arabia,27,36,-9,0,0,0,0,0,0,0,0,0,0,0,0,55.0,Persian Gulf,body_substring,s3,When was the region identified in s1 established?,0,Water resources,The most extensive use is in the Persian Gulf.,not_top20,"[{""query_index"": 55, ""entity"": ""Persian Gulf"", ""support_span"": ""The most extensive use is in the Persian Gulf."", ""why"": ""The upstream document mentions the Persian Gulf as the region with the most extensive use of desalination, which is relevant to the dependent demand about the establishment of a region with significant desalination growth."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""When was the region identified in s1 established?"", ""upstream_position"": 0, ""upstream_title"": ""Water resources""}, {""query_index"": 55, ""entity"": ""Lebanon"", ""support_span"": ""It shares land borders with Lebanon to the north"", ""why"": ""The upstream document explicitly states that Lebanon is the region immediately north of Israel."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""When was the region identified in s1 established?"", ""upstream_position"": 1, ""upstream_title"": ""Israel""}, {""query_index"": 55, ""entity"": ""Najd"", ""support_span"": ""The Al Saud (the Saudi royal family) emerged as minor tribal rulers in Najd in central Arabia."", ""why"": ""The upstream document explicitly mentions Najd as the region where the Al Saud emerged, which is immediately north of Israel."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""When was the region identified in s1 established?"", ""upstream_position"": 78, ""upstream_title"": ""History of Saudi Arabia""}, {""query_index"": 55, ""entity"": ""Persian Gulf"", ""support_span"": ""The most extensive use is in the Persian Gulf."", ""why"": ""The upstream document explicitly mentions the Persian Gulf as the region with the most extensive use of desalination, which implies it has the most growth in desalination for agricultural use."", ""requirement_id"": ""s4"", ""requirement_subquery"": ""When was the region identified in s2 established?"", ""upstream_position"": 0, ""upstream_title"": ""Water resources""}, {""query_index"": 55, ""entity"": ""Israel"", ""support_span"": ""Israel (/ˈɪzreɪəl/ or /ˈɪzriːəl/; Hebrew: יִשְׂרָאֵל‎ Yisrā'el; Arabic: إِسْرَائِيل‎ Isrāʼīl), officially the State of Israel (Hebrew: מְדִינַת יִשְׂרָאֵל‎ Medīnat Yisrā'el [mediˈnat jisʁaˈʔel] ( listen); Arabic: دولة إِسْرَائِيل‎ Dawlat Isrāʼīl [dawlat ʔisraːˈʔiːl]), is a sovereign state in Western Asia."", ""why"": ""The upstream document explicitly mentions Israel and its geographical location, which is necessary for identifying the region north of Israel."", ""requirement_id"": ""s4"", ""requirement_subquery"": ""When was the region identified in s2 established?"", ""upstream_position"": 1, ""upstream_title"": ""Israel""}, {""query_index"": 55, ""entity"": ""Kingdom of Saudi Arabia"", ""support_span"": ""the Al Saud leader, Abdulaziz, carried out a series of wars of conquest which resulted in his establishing the Kingdom of Saudi Arabia in 1930."", ""why"": ""The upstream document explicitly mentions the establishment of the Kingdom of Saudi Arabia in 1930, which is directly relevant to the dependent demand about when the region was established."", ""requirement_id"": ""s4"", ""requirement_subquery"": ""When was the region identified in s2 established?"", ""upstream_position"": 78, ""upstream_title"": ""History of Saudi Arabia""}]"
MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Saudi Arabia,75,20,55,0,0,0,0,0,0,0,0,0,0,0,0,85.0,Kingdom of Saudi Arabia,title_substring,s4,When was the region identified in s2 established?,78,History of Saudi Arabia,"the Al Saud leader, Abdulaziz, carried out a series of wars of conquest which resulted in his establishing the Kingdom of Saudi Arabia in 1930.",not_top20,"[{""query_index"": 55, ""entity"": ""Persian Gulf"", ""support_span"": ""The most extensive use is in the Persian Gulf."", ""why"": ""The upstream document mentions the Persian Gulf as the region with the most extensive use of desalination, which is relevant to the dependent demand about the establishment of a region with significant desalination growth."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""When was the region identified in s1 established?"", ""upstream_position"": 0, ""upstream_title"": ""Water resources""}, {""query_index"": 55, ""entity"": ""Lebanon"", ""support_span"": ""It shares land borders with Lebanon to the north"", ""why"": ""The upstream document explicitly states that Lebanon is the region immediately north of Israel."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""When was the region identified in s1 established?"", ""upstream_position"": 1, ""upstream_title"": ""Israel""}, {""query_index"": 55, ""entity"": ""Najd"", ""support_span"": ""The Al Saud (the Saudi royal family) emerged as minor tribal rulers in Najd in central Arabia."", ""why"": ""The upstream document explicitly mentions Najd as the region where the Al Saud emerged, which is immediately north of Israel."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""When was the region identified in s1 established?"", ""upstream_position"": 78, ""upstream_title"": ""History of Saudi Arabia""}, {""query_index"": 55, ""entity"": ""Persian Gulf"", ""support_span"": ""The most extensive use is in the Persian Gulf."", ""why"": ""The upstream document explicitly mentions the Persian Gulf as the region with the most extensive use of desalination, which implies it has the most growth in desalination for agricultural use."", ""requirement_id"": ""s4"", ""requirement_subquery"": ""When was the region identified in s2 established?"", ""upstream_position"": 0, ""upstream_title"": ""Water resources""}, {""query_index"": 55, ""entity"": ""Israel"", ""support_span"": ""Israel (/ˈɪzreɪəl/ or /ˈɪzriːəl/; Hebrew: יִשְׂרָאֵל‎ Yisrā'el; Arabic: إِسْرَائِيل‎ Isrāʼīl), officially the State of Israel (Hebrew: מְדִינַת יִשְׂרָאֵל‎ Medīnat Yisrā'el [mediˈnat jisʁaˈʔel] ( listen); Arabic: دولة إِسْرَائِيل‎ Dawlat Isrāʼīl [dawlat ʔisraːˈʔiːl]), is a sovereign state in Western Asia."", ""why"": ""The upstream document explicitly mentions Israel and its geographical location, which is necessary for identifying the region north of Israel."", ""requirement_id"": ""s4"", ""requirement_subquery"": ""When was the region identified in s2 established?"", ""upstream_position"": 1, ""upstream_title"": ""Israel""}, {""query_index"": 55, ""entity"": ""Kingdom of Saudi Arabia"", ""support_span"": ""the Al Saud leader, Abdulaziz, carried out a series of wars of conquest which resulted in his establishing the Kingdom of Saudi Arabia in 1930."", ""why"": ""The upstream document explicitly mentions the establishment of the Kingdom of Saudi Arabia in 1930, which is directly relevant to the dependent demand about when the region was established."", ""requirement_id"": ""s4"", ""requirement_subquery"": ""When was the region identified in s2 established?"", ""upstream_position"": 78, ""upstream_title"": ""History of Saudi Arabia""}]"
MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Reformation,5,5,0,0,0,1,1,0,0,1,1,0,0,0,0,55.0,Martin Luther,body_substring,s2,Which district did that person preach a sermon on Marian devotion before his death?,1,"Mary, mother of Jesus",Despite Martin Luther's harsh polemics against his Roman Catholic opponents over issues concerning Mary and the saints...,top10_not_top5,"[{""query_index"": 59, ""entity"": ""Cape Coast"", ""support_span"": ""Archbishop of Cape Coast from 1959 until his death"", ""why"": ""The upstream document states that John Kodwo Amissah served as Archbishop of Cape Coast, implying the location associated with his religious work."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which district did that person preach a sermon on Marian devotion before his death?"", ""upstream_position"": 0, ""upstream_title"": ""John Kodwo Amissah""}, {""query_index"": 59, ""entity"": ""Martin Luther"", ""support_span"": ""Despite Martin Luther's harsh polemics against his Roman Catholic opponents over issues concerning Mary and the saints..."", ""why"": ""The upstream document mentions Martin Luther in the context of Marian devotion, which is directly related to the dependent demand about preaching a sermon on Marian devotion."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which district did that person preach a sermon on Marian devotion before his death?"", ""upstream_position"": 1, ""upstream_title"": ""Mary, mother of Jesus""}, {""query_index"": 59, ""entity"": ""Mary, mother of Jesu"", ""support_span"": ""Mary, mother of Jesus"", ""why"": ""The upstream document directly mentions Mary, mother of Jesus, which is relevant to the context of Marian devotion mentioned in the dependent demand."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which district did that person preach a sermon on Marian devotion before his death?"", ""upstream_position"": 2, ""upstream_title"": ""Mary, mother of Jesus""}]"
MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Wittenberg (district),27,34,-7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,,no_positive_score_for_gold,"[{""query_index"": 59, ""entity"": ""Cape Coast"", ""support_span"": ""Archbishop of Cape Coast from 1959 until his death"", ""why"": ""The upstream document states that John Kodwo Amissah served as Archbishop of Cape Coast, implying the location associated with his religious work."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which district did that person preach a sermon on Marian devotion before his death?"", ""upstream_position"": 0, ""upstream_title"": ""John Kodwo Amissah""}, {""query_index"": 59, ""entity"": ""Martin Luther"", ""support_span"": ""Despite Martin Luther's harsh polemics against his Roman Catholic opponents over issues concerning Mary and the saints..."", ""why"": ""The upstream document mentions Martin Luther in the context of Marian devotion, which is directly related to the dependent demand about preaching a sermon on Marian devotion."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which district did that person preach a sermon on Marian devotion before his death?"", ""upstream_position"": 1, ""upstream_title"": ""Mary, mother of Jesus""}, {""query_index"": 59, ""entity"": ""Mary, mother of Jesu"", ""support_span"": ""Mary, mother of Jesus"", ""why"": ""The upstream document directly mentions Mary, mother of Jesus, which is relevant to the context of Marian devotion mentioned in the dependent demand."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which district did that person preach a sermon on Marian devotion before his death?"", ""upstream_position"": 2, ""upstream_title"": ""Mary, mother of Jesus""}]"
MuSiQue,musique,69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,"Tucson, Arizona",94,58,36,0,0,0,0,0,0,0,0,0,0,0,0,9.0,Oklahoma City,body_token_overlap,s2,Which state is the performer of Mingus Plays Piano from?,53,Oklahoma City,Oklahoma City is the principal city of the eight-county Oklahoma City Metropolitan Statistical Area in Central Oklahoma and is the state's largest urbanized area.,not_top20,"[{""query_index"": 69, ""entity"": ""Charles Mingu"", ""support_span"": ""Mingus Plays Piano is a 1963 solo jazz album by Charles Mingus."", ""why"": ""The upstream document explicitly states that Charles Mingus is the performer of Mingus Plays Piano."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which state is the performer of Mingus Plays Piano from?"", ""upstream_position"": 0, ""upstream_title"": ""Mingus Plays Piano""}, {""query_index"": 69, ""entity"": ""Indianapoli"", ""support_span"": ""Its capital and largest city is Indianapolis."", ""why"": ""The document states that Indianapolis is the capital and largest city of Indiana, which is the state where the performer of Mingus Plays Piano is from."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which state is the performer of Mingus Plays Piano from?"", ""upstream_position"": 1, ""upstream_title"": ""Indiana""}, {""query_index"": 69, ""entity"": ""Oklahoma City"", ""support_span"": ""Oklahoma City is the principal city of the eight-county Oklahoma City Metropolitan Statistical Area in Central Oklahoma and is the state's largest urbanized area."", ""why"": ""The document explicitly states that Oklahoma City is the state's largest urbanized area, which implies it is the largest populated city in Oklahoma."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""Which state is the performer of Mingus Plays Piano from?"", ""upstream_position"": 53, ""upstream_title"": ""Oklahoma City""}, {""query_index"": 69, ""entity"": ""Charles Mingu"", ""support_span"": ""Mingus Plays Piano is a 1963 solo jazz album by Charles Mingus."", ""why"": ""The performer of Mingus Plays Piano is explicitly stated as Charles Mingus."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""What is the largest populated city in that state?"", ""upstream_position"": 0, ""upstream_title"": ""Mingus Plays Piano""}, {""query_index"": 69, ""entity"": ""Indianapoli"", ""support_span"": ""Its capital and largest city is Indianapolis."", ""why"": ""The upstream document explicitly states that Indianapolis is the capital and largest city of Indiana, which is the state in question."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""What is the largest populated city in that state?"", ""upstream_position"": 1, ""upstream_title"": ""Indiana""}, {""query_index"": 69, ""entity"": ""Oklahoma City"", ""support_span"": ""Oklahoma City is the principal city of the eight-county Oklahoma City Metropolitan Statistical Area in Central Oklahoma and is the state's largest urbanized area."", ""why"": ""The document explicitly states that Oklahoma City is the state's largest urbanized area, which implies it is the largest populated city in the state."", ""requirement_id"": ""s3"", ""requirement_subquery"": ""What is the largest populated city in that state?"", ""upstream_position"": 53, ""upstream_title"": ""Oklahoma City""}, {""query_index"": 69, ""entity"": ""Charles Mingu"", ""support_span"": ""Mingus Plays Piano is a 1963 solo jazz album by Charles Mingus."", ""why"": ""The performer of Mingus Plays Piano is explicitly stated as Charles Mingus."", ""requirement_id"": ""s4"", ""requirement_subquery"": ""Who won the Indy Car Race in that city?"", ""upstream_position"": 0, ""upstream_title"": ""Mingus Plays Piano""}, {""query_index"": 69, ""entity"": ""Indianapoli"", ""support_span"": ""Its capital and largest city is Indianapolis."", ""why"": ""The upstream document states that Indianapolis is the capital and largest city of Indiana, which is the state in question."", ""requirement_id"": ""s4"", ""requirement_subquery"": ""Who won the Indy Car Race in that city?"", ""upstream_position"": 1, ""upstream_title"": ""Indiana""}, {""query_index"": 69, ""entity"": ""Oklahoma City"", ""support_span"": ""Oklahoma City is the principal city of the eight-county Oklahoma City Metropolitan Statistical Area in Central Oklahoma and is the state's largest urbanized area."", ""why"": ""The upstream document explicitly states that Oklahoma City is the state's largest urbanized area, which directly answers the upstream demand about the largest populated city in the state."", ""requirement_id"": ""s4"", ""requirement_subquery"": ""Who won the Indy Car Race in that city?"", ""upstream_position"": 53, ""upstream_title"": ""Oklahoma City""}]"
MuSiQue,musique,74,What is the direction of flow of the body of water by the city where Write This Down was formed?,Mississippi River,50,5,45,0,0,0,0,0,0,1,1,0,0,1,1,9.0,"Minneapolis, Minnesota",body_token_overlap,s2,What is the direction of flow of the body of water by that city?,0,Write This Down (band),"Write This Down is an American Christian rock band from Minneapolis, Minnesota.",top10_not_top5,"[{""query_index"": 74, ""entity"": ""Minneapolis, Minnesota"", ""support_span"": ""Write This Down is an American Christian rock band from Minneapolis, Minnesota."", ""why"": ""The upstream document explicitly states that Write This Down was formed in Minneapolis, Minnesota, which is the city required for the dependent demand."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""What is the direction of flow of the body of water by that city?"", ""upstream_position"": 0, ""upstream_title"": ""Write This Down (band)""}, {""query_index"": 74, ""entity"": ""Minneapoli"", ""support_span"": ""Minneapolis lies on both banks of the Mississippi River"", ""why"": ""The upstream document explicitly mentions Minneapolis as the city where Write This Down was formed, and it is directly connected to the body of water in the dependent demand."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""What is the direction of flow of the body of water by that city?"", ""upstream_position"": 1, ""upstream_title"": ""Minneapolis""}, {""query_index"": 74, ""entity"": ""Minneapolis, Minnesota"", ""support_span"": ""J. David Irwin (born August 9, 1939 in Minneapolis, Minnesota)"", ""why"": ""The upstream document explicitly states that J. David Irwin was born in Minneapolis, Minnesota, which is the city where Write This Down was formed."", ""requirement_id"": ""s2"", ""requirement_subquery"": ""What is the direction of flow of the body of water by that city?"", ""upstream_position"": 2, ""upstream_title"": ""J. David Irwin""}]"
