dataset,base_dataset,query_index,query_idx,question,method,gold_doc_count,support_hit_count,support_recall,support_complete,missing_count,selected_positions_json,selected_titles_json,missing_titles_json,rankgpt_parse_ok,rankgpt_prompt_has_no_think,rankgpt_selected_count,rankgpt_parse_source,rankgpt_error
2Wiki,2wikimultihopqa,0,0,When did Lothair Ii's mother die?,source_order,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Lothair II"", ""Teutberga"", ""Bertha, daughter of Lothair II"", ""Ermengarde of Tours"", ""Waldrada of Lotharingia""]",[],,,,,
2Wiki,2wikimultihopqa,0,0,When did Lothair Ii's mother die?,setr_faithful,2,2,1.0,1,0,"[3, 0, 1, 2, 4]","[""Ermengarde of Tours"", ""Lothair II"", ""Teutberga"", ""Bertha, daughter of Lothair II"", ""Waldrada of Lotharingia""]",[],,,,,
2Wiki,2wikimultihopqa,0,0,When did Lothair Ii's mother die?,dbec_selective,2,2,1.0,1,0,"[3, 0, 1, 2, 4]","[""Ermengarde of Tours"", ""Lothair II"", ""Teutberga"", ""Bertha, daughter of Lothair II"", ""Waldrada of Lotharingia""]",[],,,,,
2Wiki,2wikimultihopqa,0,0,When did Lothair Ii's mother die?,rankgpt_sliding20_step10_no_think,2,2,1.0,1,0,"[3, 0, 1, 4, 5]","[""Ermengarde of Tours"", ""Lothair II"", ""Teutberga"", ""Waldrada of Lotharingia"", ""Theobald of Arles""]",[],1,1,5,json,
2Wiki,2wikimultihopqa,1,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",source_order,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Aas Ka Panchhi"", ""Phoolwari"", ""John Jaffer Janardhanan"", ""Kishore Sahu"", ""Aansoo Ban Gaye Phool""]",[],,,,,
2Wiki,2wikimultihopqa,1,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",setr_faithful,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Aas Ka Panchhi"", ""Phoolwari"", ""John Jaffer Janardhanan"", ""Kishore Sahu"", ""Aansoo Ban Gaye Phool""]",[],,,,,
2Wiki,2wikimultihopqa,1,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",dbec_selective,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Aas Ka Panchhi"", ""Phoolwari"", ""John Jaffer Janardhanan"", ""Kishore Sahu"", ""Aansoo Ban Gaye Phool""]",[],,,,,
2Wiki,2wikimultihopqa,1,1,"Which film was released first, Aas Ka Panchhi or Phoolwari?",rankgpt_sliding20_step10_no_think,2,2,1.0,1,0,"[1, 0, 58, 13, 4]","[""Phoolwari"", ""Aas Ka Panchhi"", ""Pyar Ka Bandhan"", ""Poola Rangadu"", ""Aansoo Ban Gaye Phool""]",[],1,1,5,json,
2Wiki,2wikimultihopqa,2,2,What is the place of birth of the performer of song Changed It?,source_order,2,1,0.5,0,1,"[0, 1, 2, 3, 4]","[""Changed It"", ""Carly Rae Jepsen"", ""Did It On'em"", ""Andrew Allen (singer)"", ""Dip (song)""]","[""Nicki Minaj""]",,,,,
2Wiki,2wikimultihopqa,2,2,What is the place of birth of the performer of song Changed It?,setr_faithful,2,1,0.5,0,1,"[0, 17, 1, 2, 3]","[""Changed It"", ""Chris Brown"", ""Carly Rae Jepsen"", ""Did It On'em"", ""Andrew Allen (singer)""]","[""Nicki Minaj""]",,,,,
2Wiki,2wikimultihopqa,2,2,What is the place of birth of the performer of song Changed It?,dbec_selective,2,1,0.5,0,1,"[17, 0, 1, 2, 3]","[""Chris Brown"", ""Changed It"", ""Carly Rae Jepsen"", ""Did It On'em"", ""Andrew Allen (singer)""]","[""Nicki Minaj""]",,,,,
2Wiki,2wikimultihopqa,2,2,What is the place of birth of the performer of song Changed It?,rankgpt_sliding20_step10_no_think,2,1,0.5,0,1,"[0, 2, 17, 41, 42]","[""Changed It"", ""Did It On'em"", ""Chris Brown"", ""Back to Love (Chris Brown song)"", ""Little More (Royalty)""]","[""Nicki Minaj""]",1,1,5,json,
2Wiki,2wikimultihopqa,3,3,Are Marufabad and Nasamkhrali both located in the same country?,source_order,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Nasamkhrali"", ""Marufabad"", ""Ampelakia, Evros"", ""Radisele"", ""Where Was I""]",[],,,,,
2Wiki,2wikimultihopqa,3,3,Are Marufabad and Nasamkhrali both located in the same country?,setr_faithful,2,2,1.0,1,0,"[0, 1, 2, 3, 4]","[""Nasamkhrali"", ""Marufabad"", ""Ampelakia, Evros"", ""Radisele"", ""Where Was I""]",[],,,,,
