dataset,query_index,delta_f1_dbec_minus_setr,gold_doc_count,setr_selected_count,setr_support_recall,dbec_support_recall,support_transition,recovery_label,question,gold_titles_json,setr_missing_titles_json,dbec_recovered_titles_json,setr_titles_json,dbec_titles_json
2Wiki,616,1.0,4,2,0.25,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director who was born later, The Devil And Miss Jones or The Man In The Funny Suit?","[""The Man in the Funny Suit"", ""Ralph Nelson"", ""The Devil and Miss Jones"", ""Sam Wood""]","[""The Man in the Funny Suit"", ""Ralph Nelson"", ""The Devil and Miss Jones""]","[""The Man in the Funny Suit"", ""Ralph Nelson"", ""The Devil and Miss Jones""]","[""Sam Wood"", ""Charles Coburn""]","[""Sam Wood"", ""Ralph Nelson"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones"", ""Charles Coburn""]"
2Wiki,199,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director who was born later, Tarzan'S Hidden Jungle or The Brink'S Job?","[""Tarzan's Hidden Jungle"", ""Harold D. Schuster"", ""The Brink's Job"", ""William Friedkin""]","[""Harold D. Schuster"", ""William Friedkin""]","[""Harold D. Schuster"", ""William Friedkin""]","[""Tarzan's Hidden Jungle"", ""The Brink's Job""]","[""William Friedkin"", ""Harold D. Schuster"", ""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""The Son of Tarzan (film)""]"
2Wiki,217,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director born earlier, The Spooky Bunch or His Name Is Nobody?","[""Ann Hui"", ""His Name Is Nobody"", ""The Spooky Bunch"", ""Karl Maka""]","[""Ann Hui"", ""Karl Maka""]","[""Ann Hui"", ""Karl Maka""]","[""The Spooky Bunch"", ""His Name Is Nobody""]","[""Karl Maka"", ""Ann Hui"", ""His Name Is Nobody"", ""The Spooky Bunch"", ""My Name Is Nobody""]"
2Wiki,564,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director who was born later, Five Red Tulips or Laughing At Death?","[""Jean Stelli"", ""Laughing at Death"", ""Five Red Tulips"", ""Wallace Fox""]","[""Laughing at Death"", ""Five Red Tulips""]","[""Laughing at Death"", ""Five Red Tulips""]","[""Jean Stelli"", ""Wallace Fox""]","[""Jean Stelli"", ""Wallace Fox"", ""Five Red Tulips"", ""Laughing at Death"", ""Laughing at Life""]"
2Wiki,581,1.0,4,2,0.5,0.75,SetR incomplete -> DBEC incomplete,dbec_recovers_all_missing,"Which film has the director died later, Chad Hanna or The Avenging Shadow?","[""Ray Taylor (director)"", ""Henry King (director)"", ""Chad Hanna"", ""The Avenging Shadow""]","[""Chad Hanna"", ""The Avenging Shadow""]","[""Chad Hanna"", ""The Avenging Shadow""]","[""Henry King (director)"", ""Ray Taylor (director)""]","[""Edward L. Cahn"", ""The Avenging Shadow"", ""Chad Hanna"", ""Henry King (director)"", ""The Avenging Arrow""]"
2Wiki,708,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director who is older than the other, Women'S Weapons or She Wants Me?","[""Women's Weapons"", ""She Wants Me"", ""Rob Margolies"", ""Robert G. Vignola""]","[""Rob Margolies"", ""Robert G. Vignola""]","[""Rob Margolies"", ""Robert G. Vignola""]","[""Women's Weapons"", ""She Wants Me""]","[""Rob Margolies"", ""Robert G. Vignola"", ""Women's Weapons"", ""She Wants Me"", ""Ann Hui""]"
2Wiki,781,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director who was born earlier, Pod Banderą Miłości or World In My Corner?","[""Jesse Hibbs"", ""Michał Waszyński"", ""Pod banderą miłości"", ""World in My Corner""]","[""Jesse Hibbs"", ""Michał Waszyński""]","[""Jesse Hibbs"", ""Michał Waszyński""]","[""Pod banderą miłości"", ""World in My Corner""]","[""Michał Waszyński"", ""Jesse Hibbs"", ""Pod banderą miłości"", ""World in My Corner"", ""Charles Vidor""]"
2Wiki,792,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director who was born later, Alludugaru or The Laughing Woman?","[""K. Raghavendra Rao"", ""Piero Schivazappa"", ""Alludugaru"", ""The Laughing Woman""]","[""K. Raghavendra Rao"", ""The Laughing Woman""]","[""K. Raghavendra Rao"", ""The Laughing Woman""]","[""Alludugaru"", ""Piero Schivazappa""]","[""K. Raghavendra Rao"", ""Piero Schivazappa"", ""The Laughing Woman"", ""Alludugaru"", ""The Laughing Lady""]"
2Wiki,803,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director who was born later, Sylvie Et Le Fantôme or Sky Patrol?","[""Sylvie et le fantôme"", ""Claude Autant-Lara"", ""Sky Patrol"", ""Howard Bretherton""]","[""Claude Autant-Lara"", ""Howard Bretherton""]","[""Claude Autant-Lara"", ""Howard Bretherton""]","[""Sylvie et le fantôme"", ""Sky Patrol""]","[""Claude Autant-Lara"", ""Howard Bretherton"", ""Sylvie et le fantôme"", ""Sky Patrol"", ""Georges Lautner""]"
2Wiki,838,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director died earlier, The Mark Of The Renegade or Muchachas Que Estudian?","[""Manuel Romero"", ""Hugo Fregonese"", ""The Mark of the Renegade"", ""Muchachas que estudian""]","[""Manuel Romero"", ""Hugo Fregonese""]","[""Manuel Romero"", ""Hugo Fregonese""]","[""The Mark of the Renegade"", ""Muchachas que estudian""]","[""Manuel Romero"", ""Hugo Fregonese"", ""Son of the Renegade"", ""Muchachas que estudian"", ""The Mark of the Renegade""]"
2Wiki,865,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director born first, Killer: Dead Or Alive or Adultery: A User'S Guide?","[""Scott Shaw"", ""Christine Pascal"", ""Adultery: A User's Guide"", ""Killer: Dead or Alive""]","[""Scott Shaw"", ""Christine Pascal""]","[""Scott Shaw"", ""Christine Pascal""]","[""Killer: Dead or Alive"", ""Adultery: A User's Guide""]","[""Christine Pascal"", ""Scott Shaw"", ""Adultery: A User's Guide"", ""Killer: Dead or Alive"", ""Aditya Chopra""]"
2Wiki,901,1.0,4,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Which film has the director born earlier, More Bloody Meetings or Riders Of The Badlands?","[""Riders of the Badlands"", ""More Bloody Meetings"", ""Charles Crichton"", ""Howard Bretherton""]","[""Charles Crichton"", ""Howard Bretherton""]","[""Charles Crichton"", ""Howard Bretherton""]","[""More Bloody Meetings"", ""Riders of the Badlands""]","[""R. G. Springsteen"", ""Charles Crichton"", ""More Bloody Meetings"", ""Riders of the Badlands"", ""Howard Bretherton""]"
HotpotQA,5,1.0,2,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,What screenplay was worked on by both Edward Carfagno and Miklos Rozsa?,"[""Julius Caesar (1953 film)"", ""Edward Carfagno""]","[""Edward Carfagno""]","[""Edward Carfagno""]","[""Julius Caesar (1953 film)"", ""Storm Over the Nile""]","[""Julius Caesar (1953 film)"", ""Edward Carfagno"", ""Alien (soundtrack)"", ""Robert Surtees (cinematographer)"", ""Wise Blood (film)""]"
