qid,remove_index,remove_rank,positive_add_index,positive_add_rank,positive_add_title,negative_add_index,negative_add_rank,negative_add_title,negative_type,positive_after_objective,negative_after_objective
551e024408a611ebbd7fac1f6bf848b6,3,4,7,8,Frank Launder,8,9,Luke Goss,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
551e024408a611ebbd7fac1f6bf848b6,4,5,7,8,Frank Launder,8,9,Luke Goss,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
006d81bc0bde11eba7f7acde48001122,1,2,5,6,Ryan Adams,16,17,King of the Wild Horses,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
006d81bc0bde11eba7f7acde48001122,2,3,5,6,Ryan Adams,16,17,King of the Wild Horses,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
006d81bc0bde11eba7f7acde48001122,3,4,5,6,Ryan Adams,16,17,King of the Wild Horses,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
006d81bc0bde11eba7f7acde48001122,4,5,5,6,Ryan Adams,16,17,King of the Wild Horses,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
3ce92df80bde11eba7f7acde48001122,1,2,5,6,David Bradley (director),6,7,The Silent Stranger,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
3ce92df80bde11eba7f7acde48001122,2,3,5,6,David Bradley (director),6,7,The Silent Stranger,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
3ce92df80bde11eba7f7acde48001122,3,4,5,6,David Bradley (director),6,7,The Silent Stranger,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
3ce92df80bde11eba7f7acde48001122,4,5,5,6,David Bradley (director),6,7,The Silent Stranger,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
49b22d0a0bde11eba7f7acde48001122,1,2,15,16,Isaac Schwartz,5,6,Oscar Straus (composer),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
