dataset,query_index,gold_doc_count,missing_doc_id,missing_title,candidate_rank,rank_bucket,query_f1,query_em,failure_bucket,question,selected_non_gold_titles
2wikimultihopqa,5,4,54,Robert North Bradbury,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film whose director was born first, El Tonto or The Heart Of Doreon?",Heart (1987 film) || Juan Bustillo Oro
2wikimultihopqa,8,4,76,Frank Launder,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,Do both films Interview With A Hitman and The Last Coupon have the directors from the same country?,The Umbrella Coup || Spring Handicap
2wikimultihopqa,18,4,165,Clarence Brown,66,rank51_100,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?",The Past of Mary Holmes || Helmut Käutner
2wikimultihopqa,30,4,271,William Duncan (actor),22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",Victor Sjöström || Peter Glenville
2wikimultihopqa,31,2,278,"Frederick I, Holy Roman Emperor",21,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"What nationality is Beatrice I, Countess Of Burgundy's husband?","Frederick V, Duke of Swabia || Otto I, Count of Burgundy || Beatrice of Navarre, Duchess of Burgundy || Beatrice of Viennois"
2wikimultihopqa,32,4,290,Georges Méliès,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director born later, Christ Walking On The Water or 45 Fathers?",Bertrand Tavernier || Peter Greenaway
2wikimultihopqa,34,2,304,David Bradley (director),57,rank51_100,0.0,0.0,candidate200_complete_top5_incomplete,Where does the director of film Talk About A Stranger work at?,Anthony Mann || Rudolf Steiner (film director) || Tim McCann (director) || Carl Haber
2wikimultihopqa,37,4,325,Georges Lautner,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film whose director is younger, Dangerously They Live or Salad By The Roots?",Werner Herzog || Roger Corman
2wikimultihopqa,40,4,357,Puttanna Kanagal,,missing_200,1.0,1.0,candidate200_incomplete_top5_partial,"Which film whose director is younger, Phalitamsha or Gladiators Seven?",Aditya Chopra || Sanjay Leela Bhansali
2wikimultihopqa,41,4,360,Lina Wertmüller,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who was born later, Henry Goes Arizona or The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics?",Henry King (director) || Henry Hathaway
2wikimultihopqa,43,4,372,Yeşim Ustaoğlu,,missing_200,1.0,1.0,candidate200_incomplete_top5_partial,"Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",Sergio Leone || John Sayles
2wikimultihopqa,51,2,425,Christine of Hesse-Kassel (1578–1658),,missing_200,0.25,0.0,candidate200_incomplete_top5_partial,"Who is the father-in-law of John Ernest, Duke Of Saxe-Eisenach?","John Ernest II, Duke of Saxe-Weimar || John George II, Duke of Saxe-Eisenach || John William III, Duke of Saxe-Eisenach || William Ernest, Duke of Saxe-Weimar"
2wikimultihopqa,56,2,467,Hans J. Salter,8,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,Which country the composer of film Thunder On The Hill is from?,The Merry Monahans || Thomas Morse || Walter Ulfig || Bert Grund
2wikimultihopqa,57,4,477,Diane Kurys,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director born later, Arrête Ton Cinéma or Agni (2004 Film)?",Bertrand Tavernier || Assassination (1964 film)
2wikimultihopqa,59,2,488,Infanta María de la Paz of Spain,10,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,Where did Prince Ferdinand Of Bavaria's mother die?,Joseph Ferdinand of Bavaria || Maria Theresa of Austria-Este (1849–1919) || Princess Augusta of Bavaria || Duke Clement Francis of Bavaria
2wikimultihopqa,66,4,542,Charles Lamont,30,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died later, Love, Honor And Oh-Baby! or I Cover The Underworld?","Love, Honor, and Oh Baby! || Love, Honor and Obey"
2wikimultihopqa,72,2,582,Min Dikkha,,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,Where did Saw Thanda's husband die?,Salin Mibaya || Maha Nawrahta || Sisowath Kossamak || Nakkhatra Mangala
2wikimultihopqa,74,4,596,Ben Sombogaart,50,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who was born earlier, The Marriage Of Princess Demidoff or The Pocket-Knife?",The Marriage of Krechinsky || Jonathan Demme
2wikimultihopqa,75,4,604,Po-Chih Leong,21,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who is older than the other, Airheads or Return To Cabin By The Lake? ",Return to Return to Nuke 'Em High AKA Volume 2 || Mark Pellington
2wikimultihopqa,77,4,622,Melville W. Brown,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director died later, Lost In The Stratosphere or Blind Man'S Eyes?",Dead Man's Eyes || Blind Man (film)
2wikimultihopqa,82,2,653,Nicholas the Small,9,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,What is the date of birth of Henry I Of Ziębice's father?,"Albert, Count of Chiny || Henry VIII of Legnica || Wenceslaus I of Legnica || Jan I of Żagań"
2wikimultihopqa,87,4,699,Aleksander Ford,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who was born later, The First Day Of Freedom or Malabimba – The Malicious Whore?",Mario Bava || Nunzio Malasomma
2wikimultihopqa,89,2,703,Francis William Beaumont,21,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,Who is Sibyl Hathaway's child-in-law?,"Dudley Beaumont || Sigramnus, Count of Hesbaye || Ogawa Mataji || Tifanie Christun"
2wikimultihopqa,93,4,732,Yvan Chiffre,27,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died later, 45 Calibre Echo or Bons Baisers De Hong Kong?",Stanley Kwan || Tsui Hark
2wikimultihopqa,94,2,741,Socrates,22,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,What nationality is Lamprocles's father?,Alexander the Great || Lars Eliasson || Obata Toramori || Anacyndaraxes
