dataset,question,query_type,oracle_label,selected_by_dryrun,selected_by_judge,claim_mode,candidate_pool_position,replace_pool_position,candidate_title,replace_incumbent_title,score_delta,oracle_delta_em,oracle_delta_f1,earliest_unsupported_claim_id,earliest_unsupported_claim_text,gain_verifier_verdict,action_skip_reason,action_should_swap,preservation_unique_support_claim_ids
musique_subset20,What year did the publisher of Labyrinth end?,standard,positive,True,False,flat_fallback,55,8,The Lord of the Rings,Spectrum HoloByte,0.75,1.0,1.0,,,,no_unsupported_claim,False,[]
musique_subset20,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,standard,negative,True,True,flat_fallback,67,5,New York City,"Richmond, Virginia",1.9922,0.0,0.0,v2,Answer the question: When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,not_supported,gain_verifier_reject,False,[]
musique_subset20,How were the people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the country between Thailand and A Lim's country?,standard,negative,True,False,heuristic_tiers,16,6,Portugal,British Empire,1.168,0.0,0.0,t1_f1,Identify the bridge entity or relation involving somali. Question: How were the people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the country between Thailand and A Lim's country?,not_supported,gain_verifier_reject,False,[]
musique_subset20,What is the birthplace of the person after whom São José dos Campos was named?,standard,negative,True,False,flat_fallback,99,9,Modern history,Mission San Carlos Borromeo de Carmelo,1.5235,0.0,0.0,,,,no_unsupported_claim,False,[]
musique_subset20,What company succeeded the owner of Empire Sports Network?,standard,negative,True,False,flat_fallback,59,8,Manchester City F.C.,EA Sports,0.8984,0.0,0.0,v1,Evidence about empire sports network. Question: What company succeeded the owner of Empire Sports Network?,not_supported,gain_verifier_reject,False,[]
musique_subset20,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,standard,positive,False,False,flat_fallback,71,6,Modern history,Korean War,-5.6719,1.0,1.0,v1,Evidence about directive 10 2. Question: Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,not_supported,gain_verifier_reject,False,[]
musique_subset20,How did did the people fare during the reign of the abolisher of sati partha in India?,standard,positive,True,False,flat_fallback,45,5,British Empire,Indian Rebellion of 1857,0.6914,0.0,0.1818,v2,Answer the question: How did did the people fare during the reign of the abolisher of sati partha in India?,not_supported,gain_verifier_reject,False,[]
musique_subset20,The Commission of Truth and Friendship established governments for Bustami's birth country and a second country that had who as president after declaring independence?,standard,negative,True,False,flat_fallback,48,7,Armenians,Giorgi Chanturia,0.3008,0.0,0.0,v1,Evidence about bustami. Question: The Commission of Truth and Friendship established governments for Bustami's birth country and a second country that had who as president after declaring independence?,not_supported,gain_verifier_reject,False,[]
musique_subset20,"When did the political party that favored harsh punishment of southern states after the Civil War, gain control of the House?",standard,negative,False,False,flat_fallback,64,5,Myanmar,1946 United States House of Representatives elections,-2.5762,0.0,0.0,v1,"Evidence about house. Question: When did the political party that favored harsh punishment of southern states after the Civil War, gain control of the House?",not_supported,gain_verifier_reject,False,[]
musique_subset20,What city is the star of Sous les pieds des femmes from?,standard,positive,True,True,flat_fallback,97,8,Claudia Cardinale,C'est les vacances,6.377,1.0,1.0,,,,no_unsupported_claim,False,[]
musique_subset20,How long had Pfrang Association's headquarters location been the capitol city of the area where Guangling District is located?,standard,negative,True,False,heuristic_tiers,35,4,Gallia Belgica,Nanjing,0.6993,0.0,0.0,t1_f1,Identify the bridge entity or relation involving pfrang. Question: How long had Pfrang Association's headquarters location been the capitol city of the area where Guangling District is located?,not_supported,gain_verifier_reject,False,[]
musique_subset20,When did the 1979-80 European Cup winner win the FA Cup?,standard,positive,True,False,heuristic_tiers,49,8,List of Chelsea F.C. managers,History of Chelsea F.C.,0.7696,0.0,0.009,,,,no_unsupported_claim,False,[]
musique_subset20,What was the 2018 population of the Italian city that's underwater?,standard,positive,False,False,heuristic_tiers,17,3,List of South American countries by population,Valencia,-0.5937,1.0,1.0,,,,no_unsupported_claim,False,[]
