dataset,query_index,method,gold_title,source_best_gold_rank,hit_at_5,new_hit_at_5,selected_titles_json
MuSiQue,8,dbec_selective,Battle of New Orleans,71,0,0,"[""III (Stanton Moore album)"", ""Primo Riccitelli"", ""Battle of Korytsa"", ""Philip III of Spain"", ""Charles Russell Lowell""]"
MuSiQue,8,rankgpt_rank5_no_think,Battle of New Orleans,71,0,0,"[""III (Stanton Moore album)"", ""Philip III of Spain"", ""Battle of Cannae"", ""Umayyad Caliphate"", ""Niels Juel""]"
MuSiQue,8,rankgpt_select5_no_think,Battle of New Orleans,71,0,0,"[""III (Stanton Moore album)"", ""Philip III of Spain"", ""Battle of Cannae"", ""Battle of the Border"", ""Julian Lennon""]"
MuSiQue,8,setr_faithful,Battle of New Orleans,71,0,0,"[""Battle of Korytsa"", ""Franco-Prussian War"", ""Philip III of Spain"", ""Charles Russell Lowell"", ""Battle of the Border""]"
MuSiQue,8,source_order,Battle of New Orleans,71,0,0,"[""Battle of Korytsa"", ""Philip III of Spain"", ""Charles Russell Lowell"", ""Battle of the Border"", ""William Shakespeare""]"
MuSiQue,24,dbec_selective,Paula Santiago,18,0,0,"[""John Cabot"", ""César Gaytan"", ""Sebastian Cabot (explorer)"", ""Pedro Álvares Cabral"", ""Francisco de Eliza""]"
MuSiQue,24,rankgpt_rank5_no_think,Paula Santiago,18,0,0,"[""John Cabot"", ""Sebastian Cabot (explorer)"", ""Pedro Álvares Cabral"", ""Fuori corso"", ""Northwest Passage""]"
MuSiQue,24,rankgpt_select5_no_think,Paula Santiago,18,0,0,"[""John Cabot"", ""Exploration of North America"", ""Vicente Yáñez Pinzón"", ""Francisco de Orellana"", ""Pedro Álvares Cabral""]"
MuSiQue,24,setr_faithful,Paula Santiago,18,0,0,"[""Sebastian Cabot (explorer)"", ""John Cabot"", ""Exploration of North America"", ""César Gaytan"", ""Pedro Álvares Cabral""]"
MuSiQue,24,source_order,Paula Santiago,18,0,0,"[""César Gaytan"", ""Sebastian Cabot (explorer)"", ""Pedro Álvares Cabral"", ""Francisco de Eliza"", ""Giovanni Battista Caviglia""]"
MuSiQue,28,dbec_selective,Imperialism,7,0,0,"[""Korean War"", ""Central Intelligence Agency"", ""Central Intelligence Agency"", ""Korean War"", ""Korean War""]"
MuSiQue,28,rankgpt_rank5_no_think,Imperialism,7,0,0,"[""Central Intelligence Agency"", ""Korean War"", ""United States in the Korean War"", ""Korean War"", ""Zhdanov Doctrine""]"
MuSiQue,28,rankgpt_select5_no_think,Imperialism,7,0,0,"[""Central Intelligence Agency"", ""Korean War"", ""Korean War"", ""Korean War"", ""Korean War""]"
MuSiQue,28,setr_faithful,Imperialism,7,0,0,"[""Central Intelligence Agency"", ""Korean War"", ""Korean War"", ""Central Intelligence Agency"", ""Korean War""]"
MuSiQue,28,source_order,Imperialism,7,0,0,"[""Central Intelligence Agency"", ""Korean War"", ""Central Intelligence Agency"", ""Korean War"", ""Korean War""]"
MuSiQue,39,dbec_selective,World Series,58,0,0,"[""Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""1999 Major League Baseball draft"", ""Major League Baseball draft"", ""Hart Memorial Trophy""]"
